,Price,Location,Bedrooms(s),Property Type
23,"₦ 50,000,000/year",Diplomatic Zone Maitama Abuja,5,Renovated Mansion
24,"₦ 35,000,000/year",By National Assembly Qt Apo Abuja,5,Duplex With Quest Chalet
25,"₦ 20,000,000/year",Maitama District Abuja Diplomatic Zone Maitama Abuja,3,Block
26,"₦ 20,000,000/year","Guzape District Abuja Diplomatic Zone, Guzape Abuja",4,Well Renovated Terraced Duplex With 1 Bq
27,"₦ 13,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex
28,"₦ 29,000,000/year",Diplomatic Zone Guzape Abuja,5,Furnished Detached Duplex
29,"₦ 10,000,000/year",Durumi Abuja By American International School Durumi Abuja,2,Furnished Block Of Flat
30,"₦ 6,500,000/year",Ikota Lekki Lagos,4,Fully Detached Duplex
31,"₦ 35,000,000/year",Diplomatic Zone Asokoro Abuja,5,Furnished Detached Duplex With Bq
32,"₦ 30,000,000/year",Diplomatic Zone Asokoro Abuja,6,Under Renovation Detached Duplex
33,"$ 35,000/year","Diplomatic Zone, Guzape Abuja",4,Furnished Duplex With Bq
34,"₦ 15,000,000/year",Diplomatic Zone Guzape Abuja,4,Under Renovation Terrace Duplex With Bq
35,"₦ 15,000,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,5,Terrace Duplex With 1room Bq
36,"₦ 20,000,000/year",Diplomatic Zone Guzape Abuja,3,Newly Built Terrace Duplex With Bq
37,"₦ 35,000,000/year",Jabi District Abuja Diplomatic Zone Jabi Abuja,4,Brand New Detached Duplex With 1room Bq
38,"₦ 3,000,000/year",Navy Town Estate Asokoro Diplomatic Asokoro Abuja,,Room Self Contained
39,"₦ 40,000,000/year","Asokoro District Abuja Diplomatic Zone, Asokoro Abuja",6,Duplex With Quest Chalet
40,"₦ 35,000,000/year","Diplomatic Zone, Maitama Abuja",4,Brand New Terrace Duplex
41,"₦ 12,000,000/year",Durumi Abuja By American International School Durumi Abuja,3,Block Of Flat
42,"₦ 50,000,000/year",Maitama Abuja,6,Fully Detached Duplex
43,"₦ 6,500,000/year",Kubwa Abuja,4,Newly Built Semi Detached Duplex
44,"₦ 6,500,000/year",Kubwa Abuja,4,Newly Built Semi Detached Duplex
45,"₦ 10,000,000/year",Jahi Gilmore Jahi Abuja,3,Newly Built Flats
46,"₦ 30,000,000/year",Garki 1 Abuja,4,Duplex
47,"₦ 25,000,000/year",4th Avenue Gwarinpa Abuja,5,s Detached Duplex
48,"₦ 15,000,000/year",Maitama Abuja,4,Flat
49,"₦ 20,000,000/year",Katampe Main Abuja,5,Newly Built Semi Detached Duplex Duplex + Bq
50,"₦ 10,000,000/year",Asokoro Abuja,6,Fully Detached Duplex
51,"₦ 220,000,000",Ikate Lekki Lagos,2,Apartment With Bq
52,"₦ 5,000,000/year",Ochacho Axis Life Camp Abuja,3,Newly Built Block Of Flat
53,"₦ 35,000,000/year","Diplomatic Zone, Maitama Abuja",4,Renovated Detached Duplex
54,"₦ 20,000,000/year",American International School Durumi Durumi Abuja,4,Duplex
55,"₦ 15,000,000/year",Main Mabushi Abuja,4,Terrace Duplex +room Bq (for Office Use Only)
56,"₦ 15,000,000/year","American International School, Durumi Abuja",4,Terrace Duplex Bq/pool
57,"₦ 10,000,000/year","Life Camp In A Secured And Serene Estate, Life Camp Abuja",4,Newly Built Terraced Duplex With Bq
58,"₦ 15,000,000/year",Mabushi Main Mabushi Abuja,5,Terrace Duplex
59,"₦ 15,000,000/year",Jahi Gilmor Jahi Abuja,4,Newly Built Detached Duplex With Bq
60,"₦ 12,000,000/year",Gilmor Jahi Abuja,4,Terrace Duplex With Bq
61,"₦ 18,000,000/year",Jahi Jahi Abuja,4,Newly Built Terrace Duplex
62,"₦ 8,500,000,000",Life Camp Life Camp Abuja,4,Newly And Spacious 4bedroom With Bq Terrace
63,"₦ 16,000,000/year",Jahi Gilmor Jahi Abuja,4,Semi Detached Duplex
64,"₦ 20,000,000/year",Katampe Abuja,4,Terraced Duplex With Bq
65,"₦ 12,000,000/year",By Vio Office Mabushi Abuja,4,Newly Built Terrace Duplex With Bq
66,"₦ 14,000,000/year",Mabushi In An Estate Mabushi Abuja,4,Exquisite And Luxurious 4bedroom Semi Detached Duplex
67,"₦ 8,500,000,000",Life Camp Life Camp Abuja,4,Newly And Spacious 4bedroom With Bq Terrace
68,"₦ 15,000,000/year",Jahi Gilmor Jahi Abuja,4,Terrace Duplex
69,"₦ 8,000,000/year",Cornerpeice Life Camp Abuja,4,Terrace Duplex With Bq
70,"₦ 25,000,000/year",Wuye Abuja,4,Flat
71,"₦ 25,000,000/year",Katampe Abuja,4,Terrace Duplex
72,"₦ 220,000,000",Stargate Oluyole Estate Ibadan Oyo,4,Fully Detached Duplex With Bq
73,"₦ 10,000,000/year",Wuye Abuja,4,Terrace Duplex For Rent At Wuye
74,"₦ 17,000,000/year",Guzape Abuja,4,Terrace Duplex For Rent At Guzape
75,"₦ 15,000,000/year",Jahi Abuja,4,&1bq Terrace Duplex
76,"₦ 12,000,000/year",Jahi Abuja,3,& 1 Bq Apartment For Rent At Jahi
77,"₦ 13,000,000/year",Jahi Abuja,4,Terrace For Rent At Jahi Gilmore
78,"₦ 8,000,000/year",Kaura (games Village) Abuja,3,Apartment
79,"₦ 7,000,000/year",Jahi Abuja,2,For Rent At Jahi
80,"₦ 25,000,000/year",Maitama Abuja,4,Terrace Duplex
81,"₦ 15,000,000/year",Guzape Abuja,4,&1bq Terrace Duplex
82,"₦ 15,000,000/year",Life Camp Abuja,4,Terrace Duplex
83,"₦ 15,000,000/year",Mabushi Abuja,4,& 1bq Terrace For Rent At Mabushi
84,"₦ 12,000,000/year",Gwarinpa Abuja,4,& 1bq Terrace For Rent At Gwarimpa
85,"₦ 9,000,000/year",Jahi Abuja,3,& 1bq For Rent At Jahi Gilmore
86,"₦ 18,000,000/year",Katampe Extension Katampe Abuja,4,Terrace &1bq For Rent At Katampe Extension
87,"₦ 20,000,000/year",Katampe Abuja,4,Newly Built Duplex With Bq
88,"₦ 25,000,000/year",Wuye Abuja,4,Newly Built Semi Detached Duplex
89,"₦ 15,000,000/year",Asokoro Abuja,4,Terrace Duplex With Bq
90,"₦ 18,000,000/year",Katampe Extension Katampe Abuja,4,Newly Built Duplex
91,"₦ 12,000,000/year",Jahi Jahi Abuja,2,Apartment
92,"₦ 10,000,000/year",Durumi Durumi Abuja,4,Semi Detached Duplex
93,"₦ 1,300,000,000",Ikoyi Lagos,4,Terrace Duplex
94,"₦ 12,000,000/year","Games Village, Kaura (games Village) Abuja",4,Terraced Duplex
95,"₦ 25,000,000/year",Life Camp Abuja,4,Newly Built Duplex
96,"₦ 15,000,000/year",Katampe Katampe Abuja,4,Terrace Duplex
97,"₦ 8,000,000/year",Jahi Gilmore Jahi Abuja,3,Apartment
98,"₦ 10,500,000/year",Wuye Wuye Abuja,3,Apartment
99,"₦ 15,000,000/year",Maitama Maitama Abuja,3,Apartment
100,"₦ 12,000,000/year","Apo Cedarcrest, Apo Abuja",4,Duplex
101,"₦ 25,000,000/year",Maitama Maitama Abuja,4,Newly Built Terrace Duplex
102,"₦ 15,000,000,000/year",Life Camp Life Camp Abuja,4,Terrace Duplex
103,"₦ 50,000,000/year",Maitama Maitama Abuja,6,Detached Duplex
104,"₦ 16,500,000/year",Katampe Katampe Abuja,4,Terrace Duplex 1 Room Bq
105,"₦ 75,000,000/year",Maitama Maitama Abuja,4,Newly Built Detached Duplex
106,"₦ 4,000,000/year",Dawaki Dawaki Abuja,2,Newly Building Apartment
107,"₦ 15,000,000/year",Garki Garki 2 Abuja,4,Terrace Duplex
108,"₦ 3,000,000/year",Brains And Hammers City Estate Life Camp Abuja,2,Newly Vacated Apartment
109,"₦ 7,000,000/year",Jahi Gilmore Jahi Abuja,2,Neatly Built Flat | Jahi Gilmore
110,"₦ 17,000,000/year",Mabushi Mabushi Abuja,4,Furnished Terrace Duplex + Bq | Mabushi
111,"₦ 10,000,000/year",Close To The Magistrate Court. ( Video Is Attached) Life Camp Abuja,4,A Good Spacious Terrace Duplex + 1bq
112,"₦ 7,000,000/year","Garki Area 11, Abuja. ( Video Is Available) Area 11 Garki 1 Abuja",3,A Very Good Spacious 3bedroom Flat
113,"₦ 5,000,000/year",By America School Durumi Abuja,2,A Very Good Spacious Flat
114,"₦ 3,500,000,000",Aso Villa Asokoro Abuja,5,Newly Built Detached Duplex With Elevator
115,"₦ 15,000,000/year",By America School Durumi Abuja,4,A Very Good Terrace Duplex + 1bq Attached
116,"₦ 7,500,000/year","Wuye Main, Wuye, Abuja Wuye Abuja",3,Flat
117,"₦ 3,500,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,Flat
118,"₦ 8,000,000/year","Von Road, Airport Road, Lugbe, Abuja Lugbe Abuja",2,Flat
119,"₦ 8,000,000/year","Wuye Main, Wuye, Abuja Wuye Abuja",3,Flat With Bq
120,"₦ 6,500,000/year","3rd Avenue, Gwarinpa, Abuja Gwarinpa Abuja",3,Duplex
121,"₦ 12,000,000/year","Mabushi Close To Wuse2 By Banex, Mabushi, Abuja Mabushi Abuja",4,New Massive 4bedroom Penthouse With Seat Out
122,"₦ 30,000,000/year",Asokoro Abuja Asokoro Abuja,5,Duplex
123,"₦ 6,600,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",3,Big 3bedroom Flat ( Rent And Service 6.6m)
124,"₦ 14,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",5,5bedroom Duplex
125,"₦ 8,500,000/year","Life Camp By Godab, Life Camp, Abuja Life Camp Abuja",4,Duplex With Bq
126,"₦ 8,000,000/year","By Copa Cabana, Apo Lokogoma Express, Apo Abuja",4,Semi Detached Duplex
127,"₦ 4,000,000/year","Gaduwa, Abuja Gaduwa Abuja",2,Flat
128,"₦ 12,000,000/year","4th Avenue, Gwarinpa, Abuja Gwarinpa Abuja",4,Newly Built Duplex With Bq
129,"₦ 5,000,000/year","By Dawaki Extension, Dawaki, Abuja Dawaki Abuja",3,Decent Flat
130,"₦ 6,000,000/year","Idu By Nizamiye Hospital, Idu Abuja",2,Furnished Flat
131,"₦ 3,000,000/year",Apo Primary Apo Abuja,2,Newly Built Flat
132,"₦ 2,200,000/year","Apo Primary, Apo Abuja",1,Flat
133,"₦ 3,000,000/year","Gaduwa, Abuja Gaduwa Abuja",2,Flat
134,"₦ 6,500,000/year",Wuye Abuja,2,Newly Built Flat
135,"₦ 100,000,000/year",Banana Island Ikoyi Lagos,5,Semi Detached Duplex
136,"₦ 4,500,000/year","Life Camp By Ochacho, Life Camp, Abuja Life Camp Abuja",3,Flat
137,"₦ 3,800,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Newly Built 2bedroom Flat
138,"₦ 1,350,000/year","By Apo Mechanic, Apo, Abuja Apo Abuja",,Big Self Contain
139,"₦ 2,500,000/year",Gwarinpa Abuja Gwarinpa Abuja,,Decent One Bedroom Flat
140,"₦ 1,500,000/year","Wuse Zone, Wuse Abuja Wuse 1 Abuja",,Self Contain
141,"₦ 2,500,000/year","Nut Quarters, Opposite River Park, Lugbe, Abuja Lugbe Abuja",2,Decent 2bedroom Flat
142,"₦ 690,000/year",Federal Housing Lugbe Abuja,,Furnished Master Room In A Flat
143,"₦ 2,400,000/year","Area11, Garki, Abuja Garki 1 Abuja",2,Big Self Contain (service Charge Inside 2.4m)
144,"₦ 5,000,000/year","Life Camp By Berger Clinic, Life Camp Abuja",3,Duplex With Bq
145,"₦ 550,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Shared Apartment
146,"₦ 350,000/year","Federal Housing, Lugbe Abuja",6,Room In A Flat For 6 Months Master Room
147,"₦ 1,200,000/year","Citec Estate ,airport Road, Jabi Abuja",,A Room Self Contained
148,"₦ 4,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,Flat
149,"₦ 3,000,000/year","Dawaki By News Engineering, Dawaki, Abuja Dawaki Abuja",,One Bedroom Flat With Two Toilets
150,"₦ 7,000,000/year","Apo, Abuja Apo Abuja",4,4bedroom Duplex With Bq ( Self Compound )
151,"₦ 3,800,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Newly Built 2bedroom Flat
152,"₦ 14,000,000/year","Apo Legislative Quarters, Apo Abuja",4,Duplex With Bq
153,"₦ 7,000,000/year","Centra Area By Old Parade Ground, Abuja Central Business District Abuja",3,Flat
154,"₦ 6,500,000/year","Katampe Extension, Abuja Katampe Extension Katampe Abuja",1,Flat
155,"₦ 40,000,000/year",Guzape Abuja,6,Newly Built Duplex With Bq
156,"₦ 1,900,000,000",Ikeja Gra Ikeja Lagos,5,5bed+ Bq..
157,"₦ 6,000,000/year","Katampe Extension, Katampe, Abuja Katampe Abuja",,Big One Bedroom Flat
158,"₦ 550,000/year","Lugbe Federal Housing, Lugbe Abuja",,Room In A Flat
159,"₦ 10,000,000/year","Katampe Main, Abuja, Lagos Katampe Abuja",3,Flat
160,"₦ 4,500,000/year","Gilmore, Jahi Abuja",1,Flat
161,"₦ 7,000,000/year","Life Camp, Abuja Life Camp Abuja",3,3bedroom Duplex With Bq
162,"₦ 6,500,000/year","Apo Resettlement, Apo, Abuja Apo Abuja",3,3bedroom Duplex ( Corner Piece Duplex )
163,"₦ 6,000,000/year","Legislative Quarters, Apo Abuja",2,Terrace Duplex
164,"₦ 1,200,000/year","By News Engineering, Dawaki Abuja",,Room Self Contained
165,"₦ 2,500,000/year","Trademore Estate, Lugbe, Abuja Lugbe Abuja",2,Flat
166,"₦ 1,500,000/year","Nuc Quarters, Karu Site Phase 4 Abuja",1,Apartment
167,"₦ 200,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,3 Months Apartment
168,"₦ 3,500,000/year","Life Camp, Abuja Life Camp Abuja",2,Flat
169,"₦ 4,500,000/year","Life Camp By Ochacho, Life Camp Abuja",2,Decent Flat
170,"₦ 5,000,000/year","Durumi By America International School, Durumi Abuja",2,Newly Built Flat
171,"₦ 4,000,000/year","River Park Estate, Airport Road, Lugbe Abuja",2,Flat
172,"₦ 1,500,000/year","Apo Primary, Apo, Abuja Apo Abuja",,Room Self Contain
173,"₦ 1,800,000/year",Katampe Abuja,,Furnished Room Self Contained
174,"₦ 2,500,000/year","Wuse Zone 5, Wuse, Abuja Wuse 1 Abuja",2,Big One Bedroom Flat ( 2years)
175,"₦ 6,000,000/year","Life Camp By Stella Maris School, Life Camp Abuja Life Camp Abuja",,Furnished One Bedroom Flat
176,"₦ 700,000/year","Jahi Village By Next, Jahi Abuja",,Room Self Contained
177,"₦ 480,000,000",Chevron Lekki Lagos,,Five Bedroom Fully Detached Duplex
178,"₦ 5,000,000/year",Asokoro Abuja,1,Flat Unfurnished
179,"₦ 2,000,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,Decent 3bedroom Flat
180,"₦ 2,000,000/year","Area11, Garki, Garki 1 Abuja",1,Flat
181,"₦ 3,500,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Newly Built 2bedroom Flat
182,"₦ 2,500,000/year","Apo Primary, Apo Abuja",2,Flat With Bq
183,"₦ 2,700,000/year","Dawaki By News Engineering, Dawaki, Abuja Dawaki Abuja",2,Decent 2bedroom Flat
184,"₦ 5,000,000/year",Guzape Abuja Guzape Abuja,2,Decent 2bedroom Flat
185,"₦ 16,000,000/year",Guzape Abuja,2,Furnished Flat With Bq
186,"₦ 4,200,000/year","By Apo Primary, Apo Abuja",3,Flat
187,"₦ 10,000,000/year","By Vio, Mabushi Abuja",3,Duplex
188,"₦ 20,000,000/year","Gwarinpa Extension, Gwarinpa, Abuja Gwarinpa Abuja",5,Newly Built Duplex With 2bq
189,"₦ 7,500,000/year",Kubwa Fo1 Kubwa Abuja,4,Duplex
190,"₦ 3,000,000/year","Dawaki By News Engineering, Dawaki Abuja",1,Decent Flat
191,"₦ 15,000,000/year","Utako, Abuja Utako Abuja",3,Flat
192,"₦ 8,000,000/year","Jahi By Next, Jahi, Abuja Jahi Abuja",,Newly Built Bedroom Flat
193,"₦ 5,000,000/year","Apo Primary, Apo, Abuja Apo Abuja",3,3bedroom Flat Bungalow
194,"₦ 15,000,000/year","Mabushi Close To Wuse2 By Banex, Mabushi, Abuja Mabushi Abuja",4,Newly Built 4bedroom Duplex With A Bq
195,"₦ 60,000,000/year","Garki, Abuja Garki 1 Abuja",19,19 Rooms Office Space With Bq
196,"₦ 2,500,000/year","Zone B, Apo Resettlement, Apo, Abuja Apo Abuja",,New One Bedroom Flat ( Tarred Road )
197,"₦ 12,000,000/year","Wuye, Abuja Wuye Abuja",3,3bedroom Duplex With Bq (with Swimming Pool)
198,"₦ 75,000,000",Ajah Lekki Lagos,2,Fully Furnished Semi Detached Bungalow
199,"₦ 12,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",4,4bedroom Duplex With Bq ( Tarred Road )
200,"₦ 5,000,000/year","Apo Primary, Apo Abuja",3,Duplex
201,"₦ 3,000,000/year",By Berger Clinic Life Camp Abuja,1,Apartment
202,"₦ 300,000,000/year","Utako, Abuja Utako Abuja",5,5 Floors Complex (57 Offices & 9 Warehouses)
203,"₦ 6,000,000/year",Katampe Abuja,2,Flat With Bq
204,"₦ 16,000,000/year","Wuye, Abuja Wuye Abuja",4,Duplex With Bq
205,"₦ 3,500,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,2bedroom Flat ( 2years Payment )
206,"₦ 4,000,000/year","Wuse Zone 6, Wuse, Abuja Wuse 1 Abuja",2,Decent 2bedroom Flat
207,"₦ 200,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,Flat
208,"₦ 650,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Flat
209,"₦ 5,000,000/year","Area2, Garki, Abuja Garki 2 Abuja",2,Flat
210,"₦ 1,600,000/year","Dawaki Extension, Dawaki, Abuja Dawaki Abuja",,Spacious Self Contain
211,"₦ 4,000,000/year","River Park Estate, Lugbe, Airport Road, Abuja Lugbe Abuja",2,Flat
212,"₦ 500,000/year","Federal Housing, Lugbe Abuja",,Ensuit Room In A Flat
213,"₦ 1,600,000/year","Wuse Zone 3, Wuse 1 Abuja",,A Furnished Studio Apartment
214,"₦ 6,000,000/year",Wuye Abuja,2,Newly Built Flat
215,"₦ 4,500,000/year","By News Engineering, Dawaki Abuja",2,Flat
216,"₦ 4,500,000/year","Wuse 2, Abuja Wuse 2 Abuja",2,Flat
217,"₦ 3,500,000/year","Wuse Zone 3, Wuse, Abuja Wuse 1 Abuja",,One Bedroom Flat
218,"₦ 2,500,000/year","Apo Resettlement Zone E Extension, Apo Abuja",1,Flat
219,"₦ 10,000,000/year",Victoria Island Lagos,20,20 Units Of Mini Flat
220,"₦ 3,000,000/year","Zone C, Apo Resettlement, Apo Abuja",3,Flat
221,"₦ 4,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,Flat
222,"₦ 2,000,000/year","Galadimawa, Abuja Galadimawa Abuja",2,Newly Built One Bedroom Flat (2years Payment)
223,"₦ 350,000","Federal Housing, Lugbe Abuja",6,Furnished Room In A Flat For 6 Months
224,"₦ 1,500,000/year","Aldenco Estate, Galadimawa, Abuja Galadimawa Abuja",,Spacious Self Contain
225,"₦ 4,500,000/year","1st Avenue, Gwarinpa Abuja Gwarinpa Abuja",2,Decent 2bedroom Flat
226,"₦ 15,000,000/year","Mabushi By Banex Close To Wuse 2, Mabushi, Abuja Mabushi Abuja",4,Newly Built 4bedroom Duplex With Bq
227,"₦ 30,000,000/year",Maitama Abuja,6,Commercial Duplex With 2 Rooms Bq
228,"₦ 5,000,000/year","By Ochacho, Life Camp Abuja",3,Newly Built Flat
229,"₦ 5,500,000/year","Zone 2, Wuse 1 Abuja",3,Flat
230,"₦ 4,000,000/year","Apo Resettlement, Apo Abuja",2,Bungalow With Bq
231,"₦ 280,000/year","Ado Maraba, Abuja Mararaba Abuja",1,Furnished Flat
232,"₦ 3,500,000/year","Lokogoma By Urban Shelter, Lokogoma Abuja",3,Flat
233,"₦ 2,000,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,Decent 3bedroom Flat
234,"₦ 6,000,000/year","Aco Estate, Lugbe, Abuja Lugbe Abuja",5,New Fully Detached 5bedroom Duplex
235,"₦ 7,000,000/year","Mabushi, Abuja Mabushi Abuja",3,3bedroom Duplex
236,"₦ 8,000,000/year","Wuye, Abuja Wuye Abuja",3,3bedroom Flat With (ac All Round )
237,"₦ 13,000,000/year","Life Camp By Stella Maris School, Life Camp Abuja Life Camp Abuja",5,Newly Built 5bedroom Duplex
238,"₦ 4,500,000/year","Dawaki By News Engineering, Dawaki, Dawaki Abuja",2,Modern Flat
239,"₦ 12,000,000/year","4th Avenue, Gwarinpa, Abuja Gwarinpa Abuja",4,Newly Built Duplex With Bq
240,"₦ 1,500,000/year",Orchid Road Orchid Lekki Lagos,,Shared Apartments
241,"₦ 200,000","Federal Housing, Lugbe Abuja",3,Furnished Room In A Flat For 3 Months
242,"₦ 5,500,000/year","Von Road, Airport Road, Lugbe, Abuja Lugbe Abuja",4,4bedroom Duplex ( Self Compound )
243,"₦ 4,500,000/year","Gaduwa, Abuja Gaduwa Abuja",3,Newly Built Flat
244,"₦ 3,500,000/year","Dawaki By News Engineering, Dawaki, Abuja Dawaki Abuja",2,Decent 2bedroom Flat
245,"₦ 12,000,000/year","Mabushi, Abuja Mabushi Abuja",4,Duplex
246,"₦ 280,000/year",Ado Mararaba Abuja,1,Flat
247,"₦ 180,000,000/year",Maitama Abuja,6,6 Units Of Flat
248,"₦ 15,000,000/year","Mabushi By Banex Close To Wuse 2, Mabushi, Abuja Mabushi Abuja",4,Newly Built 4bedroom Duplex With Bq
249,"₦ 6,000,000/year","Kaura By Game Village, Kaura (games Village) Abuja",3,Flat
250,"₦ 3,000,000/year",Life Camp Abuja,1,Apartment
251,"₦ 550,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Room In A Flat
252,"₦ 2,500,000/year","Apo Mechanic By Supercell, Apo, Abuja Apo Abuja",2,Big One Bedroom Flat With 2 Toilets
253,"₦ 350,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Flat
254,"₦ 4,500,000/year",Lokogoma Abuja Lokogoma Abuja,3,Decent 3bedroom Bungalow
255,"₦ 2,500,000/year","Area1 By Durumi, Durumi, Abuja Garki 1 Abuja",1,Flat
256,"₦ 5,500,000/year",Jahi Abuja Jahi Abuja,2,Decent 2bedroom Flat
257,"₦ 1,800,000/year","Sunnyvale Axis, Galadimawa Abuja",1,Apartment
258,"₦ 4,500,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Flat
259,"₦ 2,300,000/year","Nut, Opposite River Park, Lugbe, Abuja Lugbe Abuja",2,Decent 2bedroom Flat
260,"₦ 2,200,000/year","Life Camp, Abuja Life Camp Abuja",,One Bedroom Flat
261,"₦ 16,000,000/year",Orchid Lekki Lagos,5,"Duplex + 15kva Inverter, Bq & Pool"
262,"₦ 5,000,000/year","Paradise 2 Estate, Life Camp, Abuja Life Camp Abuja",2,Decent 2bedroom Flat
263,"₦ 3,500,000/year","Close By Lokogoma Express, Lokogoma, Abuja Lokogoma Abuja",2,2bedroom Flat
264,"₦ 17,000,000/year",Guzape Abuja Guzape Abuja,4,Newly Built 4bedroom Duplex With Bq
265,"₦ 6,000,000/year","Wuse 2, Abuja Wuse 2 Abuja",2,Flat
266,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With Bq
267,"₦ 35,000,000/year",Asokoro Abuja,5,Terraced Duplex With Bq
268,"₦ 15,000,000",Mabushi Abuja,4,Terrace With Bq
269,"₦ 8,000,000/year",Guzape Abuja,2,Block Of Flats
270,"₦ 15,000,000/year",Wuse 2 Abuja,,Shop Space
271,"₦ 5,500,000/year",Kaura (games Village) Abuja,3,Apartment
272,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With Bq
273,"₦ 25,000,000/year",Mabushi Abuja,3,Penthouse
274,"₦ 75,000,000/year",Maitama Abuja,4,Terrace Duplex
275,"₦ 10,000,000/year",Gudu Gaduwa Abuja,,Shop Space
276,"₦ 9,000,000/year",Idu Abuja,4,Terrace Duplex
277,"₦ 8,000,000/year",Mabushi Abuja,3,Apartment
278,"₦ 25,000,000",Maitama Abuja,4,Detached Duplex With Bq
279,"₦ 25,000,000/year",Gaduwa Abuja,5,Furnished Terrace Duplex
280,"₦ 4,500,000/year",Kaura (games Village) Abuja,2,Flat
281,"₦ 17,000,000",Jahi Abuja,6,6 Units Of Fully Furnished
282,"₦ 345,000,000",Opebi Ikeja Lagos,4,"Spacious 4 Bed Terrace With 2 Masters, 2 Parlours & Bq"
283,"₦ 4,000,000/year",Kaura (games Village) Abuja,2,Flat
284,"₦ 10,000,000/year",Katampe Abuja,3,A Brand New Spacious Flat.
285,"₦ 25,000,000/year","Diplomatic Zone, Katampe Extension ( Video Is Available) Katampe Extension Katampe Abuja",4,A Well Built Serviced Terrace Duplex + 1bq
