Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),District,Price(Float)
flat / apartment,"₦6,000,000","Area 11, Garki, Abuja",2,Apartment,"₦6,000,000.00",Garki,"6,000,000.00"
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
flat / apartment,"₦10,000,000","Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
flat / apartment,"₦7,000,000","Jahi, Abuja",2,Apartment,"₦7,000,000.00",Jahi,"7,000,000.00"
flat / apartment,"₦4,500,000","1st Avenue, Gwarinpa, Abuja",2,Apartment,"₦4,500,000.00",Gwarinpa,"4,500,000.00"
semi-detached duplex,"₦20,000,000","Hafizullah Adam Street, Katampe, Abuja",6,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
flat / apartment,"₦7,000,000","Around Zartech, Wuye, Abuja",3,Apartment,"₦7,000,000.00",Wuye,"7,000,000.00"
flat / apartment,"₦7,000,000","Mabushi, Abuja",3,Apartment,"₦7,000,000.00",Mabushi,"7,000,000.00"
flat / apartment,"₦12,000,000","Jahi, Abuja",3,Apartment,"₦12,000,000.00",Jahi,"12,000,000.00"
flat / apartment,"₦10,000,000","Katampe Main Behind Aso Radio, Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
detached duplex,"₦15,000,000","Mab Global Estate, Gwarinpa, Abuja",5,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
terraced duplex,"₦15,000,000","Mabushi District, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
flat / apartment,"₦8,000,000","54, Fola Daniel Street, Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
semi-detached duplex,"₦45,000,000","Maitama District, Abuja",4,Duplex,"₦45,000,000.00",Maitama,"45,000,000.00"
flat / apartment,"₦7,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦7,000,000.00",Jahi,"7,000,000.00"
detached bungalow,"₦8,500,000","Gwarimpa District, Gwarinpa, Abuja",4,Bungalow,"₦8,500,000.00",Gwarinpa,"8,500,000.00"
flat / apartment,"₦7,000,000","Around Zartech, Wuye, Abuja",3,Apartment,"₦7,000,000.00",Wuye,"7,000,000.00"
terraced duplex,"₦15,000,000","Dakibiyu, Jabi, Abuja",4,Duplex,"₦15,000,000.00",Jabi,"15,000,000.00"
flat / apartment,"₦12,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦12,000,000.00",Jahi,"12,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
mini flat (room and parlour),"₦4,500,000","By Shoprite And Cedar Crest Hospital, Apo, Abuja",1,Apartment,"₦4,500,000.00",Apo,"4,500,000.00"
house,"₦9,000,000","Jahi, Abuja",3,House,"₦9,000,000.00",Jahi,"9,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
mini flat (room and parlour),"₦7,000,000","Gilmore, Jahi, Abuja",1,Apartment,"₦7,000,000.00",Jahi,"7,000,000.00"
terraced duplex,"₦15,000,000","Mabushi Main, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
flat / apartment,"₦6,000,000","Utako, Abuja",2,Apartment,"₦6,000,000.00",Utako,"6,000,000.00"
flat / apartment,"₦4,000,000","Jahi By Living Faith Church, Jahi, Abuja",1,Apartment,"₦4,000,000.00",Jahi,"4,000,000.00"
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
terraced duplex,"₦30,000,000","Utako, Abuja",5,Duplex,"₦30,000,000.00",Utako,"30,000,000.00"
flat / apartment,"₦12,000,000","Lami Ohaima Jibrin Street, Mabushi, Abuja",3,Apartment,"₦12,000,000.00",Mabushi,"12,000,000.00"
detached duplex,"₦7,000,000","Rainbow Estate, Lugbe District, Abuja",4,Duplex,"₦7,000,000.00",Lugbe,"7,000,000.00"
flat / apartment,"₦10,000,000","Katampe Main, Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
flat / apartment,"₦4,500,000","Mabushi, Abuja",2,Apartment,"₦4,500,000.00",Mabushi,"4,500,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
flat / apartment,"₦12,000,000","Jahi, Abuja",3,Apartment,"₦12,000,000.00",Jahi,"12,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
house,"₦30,000,000","Guzape District, Abuja",4,House,"₦30,000,000.00",Guzape,"30,000,000.00"
flat / apartment,"₦8,000,000","Wuye, Abuja",3,Apartment,"₦8,000,000.00",Wuye,"8,000,000.00"
terraced duplex,"₦17,000,000","Guzape District, Abuja",4,Duplex,"₦17,000,000.00",Guzape,"17,000,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
terraced duplex,"₦30,000,000","Guzape District, Abuja",4,Duplex,"₦30,000,000.00",Guzape,"30,000,000.00"
flat / apartment,"₦5,000,000","Games Village, Kaura, Abuja",3,Apartment,"₦5,000,000.00",Kaura,"5,000,000.00"
semi-detached duplex,"₦15,000,000","Works And Housing, Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
terraced duplex,"₦12,000,000","By Lento Aluminum, Life Camp, Abuja",4,Duplex,"₦12,000,000.00",Life Camp,"12,000,000.00"
flat / apartment,"$40,000","Jabi, Abuja",4,Apartment,"₦54,198,800.00",Jabi,"54,198,800.00"
flat / apartment,"₦10,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
house,"₦8,000,000","Jahi, Abuja",3,House,"₦8,000,000.00",Jahi,"8,000,000.00"
detached duplex,"₦50,000,000","Asokoro District, Abuja",5,Duplex,"₦50,000,000.00",Asokoro,"50,000,000.00"
terraced duplex,"₦12,000,000","Kado, Abuja",4,Duplex,"₦12,000,000.00",Kado,"12,000,000.00"
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
house,"₦30,000,000","Guzape District, Abuja",3,House,"₦30,000,000.00",Guzape,"30,000,000.00"
terraced duplex,"₦15,000,000","Mobil Fillings Station, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
terraced duplex,"₦20,000,000","Kado, Abuja",5,Duplex,"₦20,000,000.00",Kado,"20,000,000.00"
terraced duplex,"₦15,000,000","Mobil Fillings Station Before Wuse 2, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Wuse,"15,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦10,000,000","Rockvale Manors Estate Apo Dutse, Apo, Abuja",3,Duplex,"₦10,000,000.00",Apo,"10,000,000.00"
terraced duplex,"₦10,000,000","Lento Aluminum, Life Camp, Abuja",4,Duplex,"₦10,000,000.00",Life Camp,"10,000,000.00"
house,"₦20,000,000","Katampe Main, Katampe, Abuja",6,House,"₦20,000,000.00",Katampe,"20,000,000.00"
mini flat (room and parlour),"₦1,800,000","Lokogoma District, Abuja",1,Apartment,"₦1,800,000.00",Lokogoma,"1,800,000.00"
house,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja",4,House,"₦15,000,000.00",Asokoro,"15,000,000.00"
house,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja",4,House,"₦15,000,000.00",Asokoro,"15,000,000.00"
flat / apartment,"₦13,500,000","Riverpark Estate Along Airport Road By Dunamis Church, Lugbe District, Abuja",3,Apartment,"₦13,500,000.00",Lugbe,"13,500,000.00"
flat / apartment,"₦6,000,000","By Living Faith, Katampe (Main), Katampe, Abuja",2,Apartment,"₦6,000,000.00",Katampe,"6,000,000.00"
flat / apartment,"₦5,000,000","By Aduvie School, Jahi, Abuja",3,Apartment,"₦5,000,000.00",Jahi,"5,000,000.00"
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
flat / apartment,"₦25,000,000","Asokoro District, Abuja",2,Apartment,"₦25,000,000.00",Asokoro,"25,000,000.00"
flat / apartment,"₦6,000,000","Katampe, Abuja",1,Apartment,"₦6,000,000.00",Katampe,"6,000,000.00"
flat / apartment,"₦26,000,000","Wuye, Abuja",2,Apartment,"₦26,000,000.00",Wuye,"26,000,000.00"
flat / apartment,"₦7,000,000","Apo Resettlement, Apo Resettlement, Apo, Abuja",2,Apartment,"₦7,000,000.00",Apo,"7,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦10,000,000","Wuye, Abuja",1,Apartment,"₦10,000,000.00",Wuye,"10,000,000.00"
flat / apartment,"₦15,000,000","Mabushi, Abuja",4,Apartment,"₦15,000,000.00",Mabushi,"15,000,000.00"
flat / apartment,"₦12,000,000","Mabushi, Abuja",4,Apartment,"₦12,000,000.00",Mabushi,"12,000,000.00"
flat / apartment,"₦7,000,000","Maitama Main, Maitama District, Abuja",2,Apartment,"₦7,000,000.00",Maitama,"7,000,000.00"
semi-detached duplex,"₦9,000,000","Apo Dutse Before Cedarcrest Hospital, Apo, Abuja",4,Duplex,"₦9,000,000.00",Apo,"9,000,000.00"
flat / apartment,"₦150,000,000","Jabi, Abuja",3,Apartment,"₦150,000,000.00",Jabi,"150,000,000.00"
house,"$1,300,000,000","Off Ecowas, Asokoro District, Abuja",3,House,"₦1,761,461,000,000.00",Asokoro,"1,761,461,000,000.00"
terraced duplex,"₦20,000,000","Katampe, Abuja",4,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
flat / apartment,"₦18,500,000","Okonju Oweala, Wuye, Abuja",2,Apartment,"₦18,500,000.00",Wuye,"18,500,000.00"
flat / apartment,"₦3,500,000","Aiben Boulevard Estate, Aco, Lugbe District, Abuja",2,Apartment,"₦3,500,000.00",Lugbe,"3,500,000.00"
detached bungalow,"₦15,000,000","Phase 1, Kado Estate, Kado, Abuja",3,Bungalow,"₦15,000,000.00",Kado,"15,000,000.00"
terraced duplex,"₦35,000,000","Wuse 2, Abuja",4,Duplex,"₦35,000,000.00",Wuse,"35,000,000.00"
flat / apartment,"₦700,000","Lokogoma District, Abuja",1,Apartment,"₦700,000.00",Lokogoma,"700,000.00"
flat / apartment,"₦7,500,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦7,500,000.00",Katampe,"7,500,000.00"
flat / apartment,"₦5,000,000","Life Camp, Abuja",3,Apartment,"₦5,000,000.00",Life Camp,"5,000,000.00"
mini flat (room and parlour),"₦3,700,000","Durumi, Abuja",1,Apartment,"₦3,700,000.00",Durumi,"3,700,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
detached duplex,"₦10,000,000","Apo, Abuja",5,Duplex,"₦10,000,000.00",Apo,"10,000,000.00"
flat / apartment,"₦160,000,000","Mabushi, Abuja",3,Apartment,"₦160,000,000.00",Mabushi,"160,000,000.00"
flat / apartment,"₦6,500,000","Wuye, Abuja",2,Apartment,"₦6,500,000.00",Wuye,"6,500,000.00"
flat / apartment,"₦5,000,000","Jahi, Abuja",2,Apartment,"₦5,000,000.00",Jahi,"5,000,000.00"
terraced duplex,"₦10,000,000","Palm Heights Estate Von Road, Off Airport Road, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00",Lugbe,"10,000,000.00"
flat / apartment,"₦4,000,000","6th Avenue, Gwarinpa, Abuja",1,Apartment,"₦4,000,000.00",Gwarinpa,"4,000,000.00"
flat / apartment,"₦2,500,000","Dawaki Extension, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦2,500,000.00",Gwarinpa,"2,500,000.00"
flat / apartment,"₦6,500,000","By Arab, Utako, Abuja",3,Apartment,"₦6,500,000.00",Utako,"6,500,000.00"
detached duplex,"₦9,000,000","Along Von Road, Lugbe District, Abuja",4,Duplex,"₦9,000,000.00",Lugbe,"9,000,000.00"
flat / apartment,"₦8,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
semi-detached duplex,"₦55,000,000","Guzape District, Abuja",5,Duplex,"₦55,000,000.00",Guzape,"55,000,000.00"
house,"₦12,000,000","Mabushi, Abuja",4,House,"₦12,000,000.00",Mabushi,"12,000,000.00"
flat / apartment,"₦12,000,000","Wuye, Abuja",3,Apartment,"₦12,000,000.00",Wuye,"12,000,000.00"
flat / apartment,"₦13,000,000","Katampe, Abuja",3,Apartment,"₦13,000,000.00",Katampe,"13,000,000.00"
detached duplex,"₦25,000,000","4th Avenue, Gwarinpa, Abuja",6,Duplex,"₦25,000,000.00",Gwarinpa,"25,000,000.00"
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦40,000,000","Diplomatic Zones, Katampe Extension, Katampe, Abuja",3,Duplex,"₦40,000,000.00",Katampe,"40,000,000.00"
semi-detached duplex,"₦15,000,000","Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
detached duplex,"₦100,000,000","Asokoro District, Abuja",5,Duplex,"₦100,000,000.00",Asokoro,"100,000,000.00"
flat / apartment,"₦4,500,000","Mabushi, Abuja",2,Apartment,"₦4,500,000.00",Mabushi,"4,500,000.00"
terraced duplex,"₦40,000,000","Katampe Extension, Katampe, Abuja",3,Duplex,"₦40,000,000.00",Katampe,"40,000,000.00"
semi-detached duplex,"₦45,000,000","Ministers Hills, Maitama District, Abuja",4,Duplex,"₦45,000,000.00",Maitama,"45,000,000.00"
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
flat / apartment,"₦4,000,000","Area 11, Garki, Abuja",2,Apartment,"₦4,000,000.00",Garki,"4,000,000.00"
terraced duplex,"₦17,000,000","Apo Dutse, Apo, Abuja",4,Duplex,"₦17,000,000.00",Apo,"17,000,000.00"
detached duplex,"₦12,000,000","By Cedercrest Hospital, Apo, Abuja",4,Duplex,"₦12,000,000.00",Apo,"12,000,000.00"
flat / apartment,"₦15,000,000","Utako, Abuja",3,Apartment,"₦15,000,000.00",Utako,"15,000,000.00"
flat / apartment,"₦8,000,000","Utako, Abuja",3,Apartment,"₦8,000,000.00",Utako,"8,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
detached duplex,"₦13,000,000","Hillview Estate Maitama 2, Maitama District, Abuja",4,Duplex,"₦13,000,000.00",Maitama,"13,000,000.00"
terraced duplex,"₦45,000,000","Maitama District, Abuja",4,Duplex,"₦45,000,000.00",Maitama,"45,000,000.00"
flat / apartment,"₦2,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,000,000.00",Gwarinpa,"2,000,000.00"
flat / apartment,"₦3,500,000","News Engineering Dawaki, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00",Gwarinpa,"3,500,000.00"
flat / apartment,"₦3,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,000,000.00",Gwarinpa,"3,000,000.00"
flat / apartment,"₦8,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,000,000.00",Katampe,"8,000,000.00"
flat / apartment,"₦5,500,000","Guzape District, Abuja",1,Apartment,"₦5,500,000.00",Guzape,"5,500,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
flat / apartment,"₦10,000,000","Katampe, Abuja",3,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
semi-detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00",Maitama,"60,000,000.00"
semi-detached duplex,"₦15,000,000","Gwarinpa Main, Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
terraced duplex,"₦7,500,000","Opposite Suncity Estate, Kaura, Abuja",5,Duplex,"₦7,500,000.00",Kaura,"7,500,000.00"
flat / apartment,"₦12,000,000","Maitama District, Abuja",2,Apartment,"₦12,000,000.00",Maitama,"12,000,000.00"
flat / apartment,"₦25,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦25,000,000.00",Katampe,"25,000,000.00"
semi-detached duplex,"₦55,000,000","Guzape District, Abuja",5,Duplex,"₦55,000,000.00",Guzape,"55,000,000.00"
flat / apartment,"₦10,000,000","Wuye, Abuja",3,Apartment,"₦10,000,000.00",Wuye,"10,000,000.00"
house,"₦13,000,000","Life Camp, Abuja",4,House,"₦13,000,000.00",Life Camp,"13,000,000.00"
flat / apartment,"₦7,000,000","Life Camp, Abuja",2,Apartment,"₦7,000,000.00",Life Camp,"7,000,000.00"
flat / apartment,"₦4,000,000","Idu Industrial, Abuja",2,Apartment,"₦4,000,000.00",Idu,"4,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦6,500,000","Wuye, Abuja",2,Apartment,"₦6,500,000.00",Wuye,"6,500,000.00"
terraced duplex,"₦15,000,000","By Value Mart, Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
terraced duplex,"₦10,000,000","Dantata Estate, Gwarinpa, Abuja",4,Duplex,"₦10,000,000.00",Gwarinpa,"10,000,000.00"
house,"₦4,500,000","Mabushi, Abuja",2,House,"₦4,500,000.00",Mabushi,"4,500,000.00"
flat / apartment,"₦8,500,000","Mabushi, Abuja",3,Apartment,"₦8,500,000.00",Mabushi,"8,500,000.00"
flat / apartment,"₦4,000,000","Idu Industrial, Abuja",2,Apartment,"₦4,000,000.00",Idu,"4,000,000.00"
terraced duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",5,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
mini flat (room and parlour),"₦2,800,000","5th Avenue, Gwarinpa, Abuja",1,Apartment,"₦2,800,000.00",Gwarinpa,"2,800,000.00"
flat / apartment,"₦4,000,000","Idu, Idu Industrial, Abuja",2,Apartment,"₦4,000,000.00",Idu,"4,000,000.00"
flat / apartment,"₦3,500,000","Old Redeemed Church Street, Off Andrew Ighelli Street, FHA (F.H.A), Lugbe District, Abuja",2,Apartment,"₦3,500,000.00",Lugbe,"3,500,000.00"
flat / apartment,"₦4,500,000","Near Ochacho, Life Camp, Abuja",3,Apartment,"₦4,500,000.00",Life Camp,"4,500,000.00"
flat / apartment,"₦4,500,000","Near Ochacho, Life Camp, Abuja",3,Apartment,"₦4,500,000.00",Life Camp,"4,500,000.00"
flat / apartment,"₦13,000,000","Maitama 2, Maitama District, Abuja",4,Apartment,"₦13,000,000.00",Maitama,"13,000,000.00"
flat / apartment,"₦13,000,000","Maitama 2 District, Maitama 2, Maitama District, Abuja",4,Apartment,"₦13,000,000.00",Maitama,"13,000,000.00"
flat / apartment,"₦6,500,000","By Kia Acedemy, Wuye, Abuja",3,Apartment,"₦6,500,000.00",Wuye,"6,500,000.00"
flat / apartment,"₦6,000,000","Durumi, Abuja",2,Apartment,"₦6,000,000.00",Durumi,"6,000,000.00"
flat / apartment,"₦6,000,000","Katampe, Abuja",3,Apartment,"₦6,000,000.00",Katampe,"6,000,000.00"
flat / apartment,"₦8,000,000","By Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
