,Bedrooms,Property Category,Price(Float),District,Source,Price_per_Bed,district_tier,District Tier
145,2.0,Apartment,6500000.0,Wuye,Nigeria Property Centre,3250000.0,Luxury,Luxury
146,2.0,Apartment,5000000.0,Jahi,Nigeria Property Centre,2500000.0,Mid-Range,Mid-Range
147,4.0,Duplex,10000000.0,Lugbe,Nigeria Property Centre,2500000.0,Budget,Budget
148,1.0,Apartment,4000000.0,Gwarinpa,Nigeria Property Centre,4000000.0,Budget,Budget
149,1.0,Apartment,2500000.0,Gwarinpa,Nigeria Property Centre,2500000.0,Budget,Budget
150,3.0,Apartment,6500000.0,Utako,Nigeria Property Centre,2166666.6666666665,Mid-Range,Mid-Range
151,4.0,Duplex,9000000.0,Lugbe,Nigeria Property Centre,2250000.0,Budget,Budget
152,3.0,Apartment,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
154,4.0,Duplex,12000000.0,Mabushi,Nigeria Property Centre,3000000.0,Luxury,Luxury
155,3.0,Apartment,12000000.0,Wuye,Nigeria Property Centre,4000000.0,Luxury,Luxury
156,3.0,Apartment,13000000.0,Katampe,Nigeria Property Centre,4333333.333333333,Luxury,Luxury
157,6.0,Duplex,25000000.0,Gwarinpa,Nigeria Property Centre,4166666.6666666665,Budget,Budget
158,4.0,Duplex,15000000.0,Wuye,Nigeria Property Centre,3750000.0,Luxury,Luxury
159,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
160,3.0,Duplex,40000000.0,Katampe,Nigeria Property Centre,13333333.333333334,Luxury,Luxury
161,4.0,Duplex,15000000.0,Gwarinpa,Nigeria Property Centre,3750000.0,Budget,Budget
163,2.0,Apartment,4500000.0,Mabushi,Nigeria Property Centre,2250000.0,Luxury,Luxury
164,3.0,Duplex,40000000.0,Katampe,Nigeria Property Centre,13333333.333333334,Luxury,Luxury
165,4.0,Duplex,45000000.0,Maitama,Nigeria Property Centre,11250000.0,Luxury,Luxury
166,2.0,Apartment,10000000.0,Jahi,Nigeria Property Centre,5000000.0,Mid-Range,Mid-Range
167,3.0,Apartment,10000000.0,Jahi,Nigeria Property Centre,3333333.3333333335,Mid-Range,Mid-Range
168,2.0,Apartment,4000000.0,Garki,Nigeria Property Centre,2000000.0,Mid-Range,Mid-Range
169,4.0,Duplex,17000000.0,Apo,Nigeria Property Centre,4250000.0,Mid-Range,Mid-Range
170,4.0,Duplex,12000000.0,Apo,Nigeria Property Centre,3000000.0,Mid-Range,Mid-Range
171,3.0,Apartment,15000000.0,Utako,Nigeria Property Centre,5000000.0,Mid-Range,Mid-Range
172,3.0,Apartment,8000000.0,Utako,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
173,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
174,4.0,Duplex,13000000.0,Maitama,Nigeria Property Centre,3250000.0,Luxury,Luxury
175,4.0,Duplex,45000000.0,Maitama,Nigeria Property Centre,11250000.0,Luxury,Luxury
176,2.0,Apartment,2000000.0,Gwarinpa,Nigeria Property Centre,1000000.0,Budget,Budget
177,1.0,Apartment,3500000.0,Gwarinpa,Nigeria Property Centre,3500000.0,Budget,Budget
178,2.0,Apartment,3000000.0,Gwarinpa,Nigeria Property Centre,1500000.0,Budget,Budget
179,3.0,Apartment,8000000.0,Katampe,Nigeria Property Centre,2666666.6666666665,Luxury,Luxury
180,1.0,Apartment,5500000.0,Guzape,Nigeria Property Centre,5500000.0,Luxury,Luxury
181,3.0,Apartment,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
182,3.0,Apartment,10000000.0,Katampe,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
184,4.0,Duplex,15000000.0,Gwarinpa,Nigeria Property Centre,3750000.0,Budget,Budget
185,5.0,Duplex,7500000.0,Kaura,Nigeria Property Centre,1500000.0,Budget,Budget
186,2.0,Apartment,12000000.0,Maitama,Nigeria Property Centre,6000000.0,Luxury,Luxury
187,3.0,Apartment,25000000.0,Katampe,Nigeria Property Centre,8333333.333333333,Luxury,Luxury
189,3.0,Apartment,10000000.0,Wuye,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
190,4.0,Duplex,13000000.0,Life Camp,Nigeria Property Centre,3250000.0,Budget,Budget
191,2.0,Apartment,7000000.0,Life Camp,Nigeria Property Centre,3500000.0,Budget,Budget
192,2.0,Apartment,4000000.0,Idu,Nigeria Property Centre,2000000.0,Budget,Budget
193,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
194,2.0,Apartment,6500000.0,Wuye,Nigeria Property Centre,3250000.0,Luxury,Luxury
195,4.0,Duplex,15000000.0,Wuye,Nigeria Property Centre,3750000.0,Luxury,Luxury
196,4.0,Duplex,10000000.0,Gwarinpa,Nigeria Property Centre,2500000.0,Budget,Budget
197,2.0,Bungalow,4500000.0,Mabushi,Nigeria Property Centre,2250000.0,Luxury,Luxury
198,3.0,Apartment,8500000.0,Mabushi,Nigeria Property Centre,2833333.3333333335,Luxury,Luxury
199,2.0,Apartment,4000000.0,Idu,Nigeria Property Centre,2000000.0,Budget,Budget
200,5.0,Duplex,20000000.0,Katampe,Nigeria Property Centre,4000000.0,Luxury,Luxury
201,1.0,Apartment,2800000.0,Gwarinpa,Nigeria Property Centre,2800000.0,Budget,Budget
202,2.0,Apartment,4000000.0,Idu,Nigeria Property Centre,2000000.0,Budget,Budget
203,2.0,Apartment,3500000.0,Lugbe,Nigeria Property Centre,1750000.0,Budget,Budget
204,3.0,Apartment,4500000.0,Life Camp,Nigeria Property Centre,1500000.0,Budget,Budget
205,3.0,Apartment,4500000.0,Life Camp,Nigeria Property Centre,1500000.0,Budget,Budget
206,4.0,Apartment,13000000.0,Maitama,Nigeria Property Centre,3250000.0,Luxury,Luxury
207,4.0,Apartment,13000000.0,Maitama,Nigeria Property Centre,3250000.0,Luxury,Luxury
208,3.0,Apartment,6500000.0,Wuye,Nigeria Property Centre,2166666.6666666665,Luxury,Luxury
209,2.0,Apartment,6000000.0,Durumi,Nigeria Property Centre,3000000.0,Budget,Budget
210,3.0,Apartment,6000000.0,Katampe,Nigeria Property Centre,2000000.0,Luxury,Luxury
211,3.0,Apartment,8000000.0,Jahi,Nigeria Property Centre,2666666.6666666665,Mid-Range,Mid-Range
212,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
213,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
214,5.0,Duplex,20000000.0,Jabi,Nigeria Property Centre,4000000.0,Luxury,Luxury
215,1.0,Apartment,3700000.0,Durumi,Nigeria Property Centre,3700000.0,Budget,Budget
216,3.0,Duplex,12000000.0,Wuye,Nigeria Property Centre,4000000.0,Luxury,Luxury
217,3.0,Apartment,10000000.0,Wuye,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
218,1.0,Apartment,1600000.0,Gwarinpa,Nigeria Property Centre,1600000.0,Budget,Budget
219,4.0,Duplex,10000000.0,Mabushi,Nigeria Property Centre,2500000.0,Luxury,Luxury
220,1.0,Apartment,3700000.0,Durumi,Nigeria Property Centre,3700000.0,Budget,Budget
221,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
222,3.0,Duplex,7500000.0,Apo,Nigeria Property Centre,2500000.0,Mid-Range,Mid-Range
223,3.0,Apartment,8000000.0,Wuse,Nigeria Property Centre,2666666.6666666665,Luxury,Luxury
224,3.0,Bungalow,5000000.0,Wuse,Nigeria Property Centre,1666666.6666666667,Luxury,Luxury
225,6.0,Duplex,15000000.0,Durumi,Nigeria Property Centre,2500000.0,Budget,Budget
226,4.0,Duplex,15000000.0,Apo,Nigeria Property Centre,3750000.0,Mid-Range,Mid-Range
227,5.0,Duplex,17000000.0,Katampe,Nigeria Property Centre,3400000.0,Luxury,Luxury
228,1.0,Apartment,3500000.0,Utako,Nigeria Property Centre,3500000.0,Mid-Range,Mid-Range
229,3.0,Apartment,5000000.0,Wuse,Nigeria Property Centre,1666666.6666666667,Luxury,Luxury
230,2.0,Apartment,4000000.0,Idu,Nigeria Property Centre,2000000.0,Budget,Budget
231,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
232,5.0,Duplex,25000000.0,Kado,Nigeria Property Centre,5000000.0,Mid-Range,Mid-Range
233,4.0,Duplex,10000000.0,Apo,Nigeria Property Centre,2500000.0,Mid-Range,Mid-Range
234,5.0,Duplex,15000000.0,Katampe,Nigeria Property Centre,3000000.0,Luxury,Luxury
235,2.0,Apartment,25000000.0,Maitama,Nigeria Property Centre,12500000.0,Luxury,Luxury
236,3.0,Apartment,13000000.0,Jahi,Nigeria Property Centre,4333333.333333333,Mid-Range,Mid-Range
237,3.0,Apartment,10000000.0,Jabi,Nigeria Property Centre,3333333.3333333335,Luxury,Luxury
238,4.0,Duplex,10000000.0,Garki,Nigeria Property Centre,2500000.0,Mid-Range,Mid-Range
239,3.0,Apartment,5000000.0,Wuse,Nigeria Property Centre,1666666.6666666667,Luxury,Luxury
240,1.0,Apartment,3500000.0,Utako,Nigeria Property Centre,3500000.0,Mid-Range,Mid-Range
241,4.0,Duplex,25000000.0,Guzape,Nigeria Property Centre,6250000.0,Luxury,Luxury
242,5.0,Duplex,10000000.0,Apo,Nigeria Property Centre,2000000.0,Mid-Range,Mid-Range
243,4.0,Duplex,20000000.0,Idu,Nigeria Property Centre,5000000.0,Budget,Budget
244,2.0,Apartment,2700000.0,Gwarinpa,Nigeria Property Centre,1350000.0,Budget,Budget
245,1.0,Apartment,3500000.0,Gwarinpa,Nigeria Property Centre,3500000.0,Budget,Budget
246,2.0,Apartment,10000000.0,Asokoro,Nigeria Property Centre,5000000.0,Luxury,Luxury
247,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
248,4.0,Duplex,15000000.0,Asokoro,Nigeria Property Centre,3750000.0,Luxury,Luxury
249,3.0,Apartment,13000000.0,Mabushi,Nigeria Property Centre,4333333.333333333,Luxury,Luxury
252,3.0,Apartment,8500000.0,Mabushi,Nigeria Property Centre,2833333.3333333335,Luxury,Luxury
253,4.0,Duplex,35000000.0,Wuse,Nigeria Property Centre,8750000.0,Luxury,Luxury
254,4.0,Duplex,8000000.0,Gwarinpa,Nigeria Property Centre,2000000.0,Budget,Budget
255,3.0,Apartment,20000000.0,Wuye,Nigeria Property Centre,6666666.666666667,Luxury,Luxury
256,4.0,Duplex,25000000.0,Wuye,Nigeria Property Centre,6250000.0,Luxury,Luxury
257,4.0,Duplex,25000000.0,Jabi,Nigeria Property Centre,6250000.0,Luxury,Luxury
258,2.0,Apartment,20000000.0,Jabi,Nigeria Property Centre,10000000.0,Luxury,Luxury
259,3.0,Apartment,25000000.0,Jabi,Nigeria Property Centre,8333333.333333333,Luxury,Luxury
260,3.0,Apartment,5000000.0,Wuse,Nigeria Property Centre,1666666.6666666667,Luxury,Luxury
262,1.0,Apartment,7500000.0,Jahi,Nigeria Property Centre,7500000.0,Mid-Range,Mid-Range
263,3.0,Apartment,10000000.0,Jahi,Nigeria Property Centre,3333333.3333333335,Mid-Range,Mid-Range
264,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
265,3.0,Apartment,6000000.0,Life Camp,Nigeria Property Centre,2000000.0,Budget,Budget
266,2.0,Apartment,12000000.0,Maitama,Nigeria Property Centre,6000000.0,Luxury,Luxury
267,2.0,Apartment,3500000.0,Maitama,Nigeria Property Centre,1750000.0,Luxury,Luxury
268,3.0,Bungalow,7000000.0,Maitama,Nigeria Property Centre,2333333.3333333335,Luxury,Luxury
269,2.0,Apartment,3000000.0,Life Camp,Nigeria Property Centre,1500000.0,Budget,Budget
270,5.0,Duplex,35000000.0,Wuye,Nigeria Property Centre,7000000.0,Luxury,Luxury
271,5.0,Duplex,10000000.0,Apo,Nigeria Property Centre,2000000.0,Mid-Range,Mid-Range
272,6.0,Duplex,30000000.0,Life Camp,Nigeria Property Centre,5000000.0,Budget,Budget
273,2.0,Apartment,4000000.0,Mabushi,Nigeria Property Centre,2000000.0,Luxury,Luxury
274,4.0,Duplex,15000000.0,Wuye,Nigeria Property Centre,3750000.0,Luxury,Luxury
275,4.0,Bungalow,8500000.0,Gwarinpa,Nigeria Property Centre,2125000.0,Budget,Budget
276,5.0,Duplex,12000000.0,Gwarinpa,Nigeria Property Centre,2400000.0,Budget,Budget
277,2.0,Apartment,4000000.0,Maitama,Nigeria Property Centre,2000000.0,Luxury,Luxury
278,1.0,Apartment,2500000.0,Jahi,Nigeria Property Centre,2500000.0,Mid-Range,Mid-Range
279,3.0,Duplex,32000000.0,Jabi,Nigeria Property Centre,10666666.666666666,Luxury,Luxury
280,3.0,Apartment,5700000.0,Mabushi,Nigeria Property Centre,1900000.0,Luxury,Luxury
281,4.0,Duplex,25000000.0,Jabi,Nigeria Property Centre,6250000.0,Luxury,Luxury
282,2.0,Apartment,50000000.0,Apo,Nigeria Property Centre,25000000.0,Mid-Range,Mid-Range
284,5.0,Duplex,15000000.0,Idu,Nigeria Property Centre,3000000.0,Budget,Budget
285,3.0,Apartment,6000000.0,Idu,Nigeria Property Centre,2000000.0,Budget,Budget
286,4.0,Duplex,15000000.0,Mabushi,Nigeria Property Centre,3750000.0,Luxury,Luxury
