Bedrooms,Property Category,Price(Float),District
3,Apartment,25000000.0,Katampe
5,Duplex,55000000.0,Guzape
3,Apartment,10000000.0,Wuye
4,Duplex,13000000.0,Life Camp
2,Apartment,7000000.0,Life Camp
2,Apartment,4000000.0,Idu
3,Duplex,32000000.0,Jabi
2,Apartment,6500000.0,Wuye
4,Duplex,15000000.0,Wuye
4,Duplex,10000000.0,Gwarinpa
2,Bungalow,4500000.0,Mabushi
3,Apartment,8500000.0,Mabushi
2,Apartment,4000000.0,Idu
5,Duplex,20000000.0,Katampe
1,Apartment,2800000.0,Gwarinpa
2,Apartment,4000000.0,Idu
2,Apartment,3500000.0,Lugbe
3,Apartment,4500000.0,Life Camp
3,Apartment,4500000.0,Life Camp
4,Apartment,13000000.0,Maitama
4,Apartment,13000000.0,Maitama
3,Apartment,6500000.0,Wuye
2,Apartment,6000000.0,Durumi
3,Apartment,6000000.0,Katampe
3,Apartment,8000000.0,Jahi
3,Duplex,32000000.0,Jabi
4,Duplex,15000000.0,Mabushi
5,Duplex,20000000.0,Jabi
1,Apartment,3700000.0,Durumi
3,Duplex,12000000.0,Wuye
3,Apartment,10000000.0,Wuye
1,Apartment,1600000.0,Gwarinpa
4,Duplex,10000000.0,Mabushi
1,Apartment,3700000.0,Durumi
4,Duplex,15000000.0,Mabushi
3,Duplex,7500000.0,Apo
3,Apartment,8000000.0,Wuse
3,Bungalow,5000000.0,Wuse
6,Duplex,15000000.0,Durumi
4,Duplex,15000000.0,Apo
5,Duplex,17000000.0,Katampe
1,Apartment,3500000.0,Utako
3,Apartment,5000000.0,Wuse
2,Apartment,4000000.0,Idu
3,Duplex,32000000.0,Jabi
5,Duplex,25000000.0,Kado
4,Duplex,10000000.0,Apo
5,Duplex,15000000.0,Katampe
2,Apartment,25000000.0,Maitama
3,Apartment,13000000.0,Jahi
3,Apartment,10000000.0,Jabi
4,Duplex,10000000.0,Garki
3,Apartment,5000000.0,Wuse
1,Apartment,3500000.0,Utako
4,Duplex,25000000.0,Guzape
5,Duplex,10000000.0,Apo
4,Duplex,20000000.0,Idu
2,Apartment,2700000.0,Gwarinpa
1,Apartment,3500000.0,Gwarinpa
2,Apartment,10000000.0,Asokoro
3,Duplex,32000000.0,Jabi
4,Duplex,15000000.0,Asokoro
3,Apartment,13000000.0,Mabushi
2,Apartment,74523350.0,Maitama
4,Duplex,81298200.0,Maitama
3,Apartment,8500000.0,Mabushi
4,Duplex,35000000.0,Wuse
4,Duplex,8000000.0,Gwarinpa
3,Apartment,20000000.0,Wuye
4,Duplex,25000000.0,Wuye
4,Duplex,25000000.0,Jabi
2,Apartment,20000000.0,Jabi
3,Apartment,25000000.0,Jabi
3,Apartment,5000000.0,Wuse
5,Duplex,100000000.0,Maitama
1,Apartment,7500000.0,Jahi
3,Apartment,10000000.0,Jahi
3,Duplex,32000000.0,Jabi
3,Apartment,6000000.0,Life Camp
2,Apartment,12000000.0,Maitama
2,Apartment,3500000.0,Maitama
3,Bungalow,7000000.0,Maitama
2,Apartment,3000000.0,Life Camp
5,Duplex,35000000.0,Wuye
5,Duplex,10000000.0,Apo
6,Duplex,30000000.0,Life Camp
2,Apartment,4000000.0,Mabushi
4,Duplex,15000000.0,Wuye
4,Bungalow,8500000.0,Gwarinpa
5,Duplex,12000000.0,Gwarinpa
2,Apartment,4000000.0,Maitama
1,Apartment,2500000.0,Jahi
3,Duplex,32000000.0,Jabi
3,Apartment,5700000.0,Mabushi
4,Duplex,25000000.0,Jabi
2,Apartment,50000000.0,Apo
3,Apartment,75000000.0,Garki
5,Duplex,15000000.0,Idu
3,Apartment,6000000.0,Idu
4,Duplex,15000000.0,Mabushi
3,Duplex,12000000.0,Mabushi
4,Duplex,30000000.0,Maitama
3,Apartment,5700000.0,Mabushi
3,Apartment,8000000.0,Guzape
6,Duplex,15000000.0,Durumi
5,Duplex,20000000.0,Gwarinpa
1,Apartment,3500000.0,Gwarinpa
4,Duplex,20000000.0,Life Camp
3,Apartment,8000000.0,Garki
3,Duplex,32000000.0,Jabi
1,Apartment,2500000.0,Lugbe
4,Duplex,10000000.0,Lugbe
3,Apartment,15000000.0,Maitama
2,Bungalow,27000000.0,Maitama
2,Apartment,6000000.0,Jahi
1,Apartment,1500000.0,Apo
3,Apartment,7000000.0,Apo
4,Duplex,12000000.0,Mabushi
4,Duplex,27000000.0,Jabi
1,Apartment,2000000.0,Kaura
2,Apartment,2600000.0,Gwarinpa
3,Apartment,6000000.0,Jabi
3,Duplex,32000000.0,Jabi
2,Bungalow,2200000.0,Lugbe
5,Duplex,20000000.0,Mabushi
3,Apartment,5500000.0,Gwarinpa
6,Apartment,15000000.0,Lokogoma
4,Apartment,20000000.0,Guzape
2,Apartment,5000000.0,Life Camp
4,Duplex,18000000.0,Guzape
3,Apartment,10000000.0,Guzape
5,Duplex,25000000.0,Guzape
2,Apartment,5500000.0,Apo
5,Duplex,17000000.0,Katampe
5,Duplex,75000000.0,Guzape
3,Apartment,8500000.0,Jabi
3,Apartment,5000000.0,Gwarinpa
2,Apartment,4500000.0,Life Camp
1,Apartment,4000000.0,Life Camp
4,Duplex,35000000.0,Wuye
3,Duplex,32000000.0,Jabi
5,Duplex,35000000.0,Wuye
2,Apartment,5000000.0,Life Camp
5,Duplex,35000000.0,Wuye
4,Duplex,35000000.0,Wuye
2,Apartment,3000000.0,Lugbe
3,Apartment,7000000.0,Wuye
2,Apartment,8000000.0,Wuye
4,Duplex,12000000.0,Mabushi
1,Apartment,6000000.0,Jahi
4,Duplex,30000000.0,Jabi
2,Apartment,4500000.0,Katampe
4,Duplex,11000000.0,Mabushi
4,Apartment,10000000.0,Mabushi
2,Apartment,4000000.0,Gwarinpa
3,Apartment,8000000.0,Mabushi
3,Apartment,4500000.0,Gwarinpa
3,Duplex,32000000.0,Jabi
3,Apartment,5000000.0,Wuse
4,Duplex,20000000.0,Guzape
3,Apartment,19000000.0,Maitama
5,Duplex,35000000.0,Wuye
4,Duplex,20000000.0,Guzape
5,Duplex,30000000.0,Katampe
3,Apartment,9000000.0,Jahi
5,Duplex,30000000.0,Kado
3,Apartment,13000000.0,Lugbe
5,Duplex,35000000.0,Utako
5,Duplex,12000000.0,Apo
3,Apartment,13500000.0,Jahi
2,Apartment,115000000.0,Jahi
2,Apartment,85000000.0,Guzape
4,Duplex,12000000.0,Guzape
3,Duplex,32000000.0,Jabi
3,Apartment,9000000.0,Wuse
3,Apartment,8000000.0,Wuse
3,Apartment,8500000.0,Katampe
3,Apartment,6000000.0,Idu
3,Apartment,15000000.0,Asokoro
3,Apartment,5000000.0,Gwarinpa
4,Duplex,25000000.0,Wuse
3,Apartment,6000000.0,Durumi
2,Apartment,6000000.0,Utako
4,Bungalow,8500000.0,Gwarinpa
3,Duplex,13000000.0,Asokoro
4,Duplex,10500000.0,Life Camp
4,Duplex,10000000.0,Jahi
4,Apartment,11500000.0,Mabushi
3,Duplex,32000000.0,Jabi
3,Apartment,15000000.0,Maitama
3,Apartment,10000000.0,Mabushi
5,Duplex,35000000.0,Utako
2,Bungalow,4000000.0,Lugbe
7,Duplex,130000000.0,Asokoro
5,Duplex,15000000.0,Katampe
3,Apartment,11500000.0,Jahi
2,Bungalow,45000000.0,Wuse
4,Duplex,10000000.0,Gwarinpa
2,Apartment,4500000.0,Jahi
3,Apartment,6000000.0,Gwarinpa
4,Duplex,40000000.0,Gwarinpa
2,Bungalow,700000.0,Guzape
6,Duplex,90000000.0,Asokoro
3,Duplex,32000000.0,Jabi
2,Apartment,3500000.0,Lugbe
1,Apartment,160000000.0,Katampe
1,Apartment,8000000.0,Katampe
2,Apartment,22000000.0,Wuse
4,Duplex,20000000.0,Life Camp
3,Apartment,1500000.0,Mabushi
5,Duplex,20000000.0,Wuye
5,Duplex,15000000.0,Mabushi
9,Duplex,32000000.0,Life Camp
24,Apartment,160000000.0,Katampe
4,Duplex,10000000.0,Life Camp
3,Duplex,15000000.0,Lugbe
3,Apartment,6000000.0,Gwarinpa
12,Duplex,100000000.0,Maitama
3,Duplex,32000000.0,Jabi
4,Duplex,15000000.0,Mabushi
3,Apartment,11500000.0,Jahi
5,Duplex,20000000.0,Katampe
4,Duplex,25000000.0,Life Camp
3,Apartment,5000000.0,Life Camp
2,Apartment,14000000.0,Katampe
3,Apartment,5000000.0,Life Camp
2,Apartment,25000000.0,Maitama
5,Duplex,35000000.0,Guzape
5,Duplex,30000000.0,Apo
4,Apartment,4500000.0,Lugbe
1,Apartment,4500000.0,Katampe
4,Duplex,25000000.0,Maitama
3,Apartment,9000000.0,Durumi
4,Apartment,8000000.0,Wuye
2,Apartment,4000000.0,Idu
1,Apartment,1500000.0,Lokogoma
3,Apartment,35000000.0,Wuse
3,Duplex,32000000.0,Jabi
3,Apartment,35000000.0,Wuse
5,Duplex,10000000.0,Apo
3,Apartment,47423950.0,Wuse
3,Apartment,50000000.0,Wuse
3,Apartment,25000000.0,Guzape
2,Apartment,21000000.0,Guzape
4,Duplex,35000000.0,Guzape
3,Duplex,474239500.0,Asokoro
4,Duplex,20000000.0,Apo
3,Apartment,10000000.0,Guzape
2,Apartment,15000000.0,Mabushi
3,Apartment,10000000.0,Guzape
5,Duplex,45000000.0,Asokoro
2,Apartment,8000000.0,Asokoro
2,Apartment,11500000.0,Jahi
3,Duplex,32000000.0,Jabi
3,Apartment,8000000.0,Kaura
2,Apartment,7000000.0,Kaura
4,Duplex,25000000.0,Life Camp
3,Apartment,5000000.0,Jahi
5,Duplex,30000000.0,Katampe
5,Duplex,30000000.0,Asokoro
5,Duplex,30000000.0,Utako
4,Duplex,11000000.0,Apo
4,Duplex,75000000.0,Maitama
4,Duplex,25000000.0,Katampe
3,Apartment,12000000.0,Utako
4,Duplex,15000000.0,Mabushi
4,Duplex,12000000.0,Mabushi
6,Duplex,45000000.0,Wuse
3,Bungalow,67748500.0,Maitama
2,Apartment,5500000.0,Durumi
4,Duplex,20000000.0,Asokoro
3,Bungalow,50133890.0,Asokoro
5,Duplex,20000000.0,Guzape
3,Duplex,32000000.0,Jabi
4,Duplex,47423950.0,Guzape
5,Duplex,25000000.0,Apo
5,Duplex,15000000.0,Guzape
5,Duplex,50000000.0,Maitama
2,Apartment,6000000.0,Jahi
3,Apartment,8000000.0,Jahi
4,Duplex,7500000.0,Lugbe
5,Duplex,25000000.0,Apo
4,Duplex,30000000.0,Maitama
5,Duplex,80000000.0,Guzape
2,Apartment,5000000.0,Durumi
4,Duplex,15000000.0,Guzape
4,Apartment,15000000.0,Mabushi
3,Duplex,8000000.0,Apo
3,Apartment,5800000.0,Idu
3,Apartment,8000000.0,Katampe
2,Apartment,6000000.0,Life Camp
3,Apartment,7000000.0,Life Camp
3,Duplex,32000000.0,Jabi
3,Duplex,15000000.0,Garki
2,Apartment,9000000.0,Wuye
3,Apartment,6700000.0,Life Camp
2,Apartment,6000000.0,Life Camp
4,Duplex,10000000.0,Jahi
4,Duplex,13000000.0,Jahi
5,Duplex,80000000.0,Maitama
1,Bungalow,2500000.0,Lokogoma
2,Apartment,7000000.0,Jahi
4,Duplex,14000000.0,Jahi
5,Duplex,80000000.0,Maitama
3,Duplex,9000000.0,Asokoro
5,Duplex,100000000.0,Asokoro
4,Duplex,17000000.0,Guzape
4,Duplex,12000000.0,Mabushi
2,Apartment,19000000.0,Wuse
2,Apartment,22000000.0,Wuse
2,Apartment,4000000.0,Gwarinpa
3,Duplex,32000000.0,Jabi
1,Apartment,11000000.0,Jabi
4,Duplex,18000000.0,Wuye
3,Apartment,5500000.0,Jabi
5,Duplex,25000000.0,Apo
4,Duplex,15000000.0,Life Camp
8,Duplex,35000000.0,Life Camp
3,Apartment,7000000.0,Life Camp
5,Duplex,30000000.0,Katampe
3,Apartment,4500000.0,Lugbe
6,Duplex,35000000.0,Katampe
3,Apartment,9000000.0,Jahi
4,Duplex,15000000.0,Mabushi
6,Duplex,20000000.0,Katampe
3,Apartment,18000000.0,Wuse
3,Apartment,10000000.0,Guzape
3,Apartment,8500000.0,Jahi
2,Apartment,9000000.0,Guzape
3,Duplex,32000000.0,Jabi
6,Duplex,10000000.0,Lokogoma
3,Bungalow,17000000.0,Kado
4,Duplex,15000000.0,Mabushi
5,Duplex,120000000.0,Utako
4,Apartment,6500000.0,Idu
3,Apartment,9000000.0,Guzape
4,Duplex,9000000.0,Idu
4,Duplex,30000000.0,Katampe
4,Duplex,30000000.0,Maitama
3,Apartment,7500000.0,Mabushi
4,Duplex,8500000.0,Gwarinpa
4,Duplex,15000000.0,Mabushi
1,Apartment,3500000.0,Kado
3,Duplex,20000000.0,Asokoro
3,Apartment,10000000.0,Apo
2,Apartment,7500000.0,Apo
1,Apartment,5000000.0,Apo
4,Duplex,11000000.0,Apo
3,Duplex,32000000.0,Jabi
4,Duplex,12500000.0,Apo
2,Apartment,2000000.0,Lugbe
4,Duplex,15000000.0,Life Camp
4,Duplex,80000000.0,Asokoro
2,Apartment,4500000.0,Jahi
1,Apartment,2000000.0,Lugbe
3,Apartment,35000000.0,Maitama
4,Duplex,18000000.0,Guzape
5,Duplex,50000000.0,Maitama
3,Apartment,9000000.0,Guzape
3,Apartment,10000000.0,Mabushi
2,Apartment,88073050.0,Asokoro
4,Duplex,350000000.0,Life Camp
2,Apartment,33000000.0,Garki
3,Apartment,25000000.0,Katampe
3,Apartment,10000000.0,Wuye
3,Duplex,32000000.0,Jabi
4,Duplex,25000000.0,Katampe
4,Duplex,80000000.0,Asokoro
3,Apartment,9000000.0,Mabushi
4,Duplex,30000000.0,Maitama
5,Duplex,20000000.0,Asokoro
2,Apartment,25000000.0,Guzape
5,Duplex,100000000.0,Guzape
4,Duplex,15000000.0,Wuye
5,Duplex,35000000.0,Guzape
4,Duplex,15000000.0,Mabushi
3,Apartment,7500000.0,Mabushi
4,Duplex,15000000.0,Guzape
6,Duplex,35000000.0,Gwarinpa
5,Duplex,15000000.0,Katampe
3,Duplex,32000000.0,Jabi
5,Duplex,17500000.0,Katampe
6,Duplex,37000000.0,Katampe
5,Duplex,25000000.0,Guzape
3,Apartment,8500000.0,Katampe
32,Apartment,160000000.0,Jabi
1,Apartment,6000000.0,Katampe
4,Duplex,25000000.0,Jabi
5,Duplex,28000000.0,Guzape
4,Duplex,15000000.0,Guzape
2,Apartment,3500000.0,Durumi
2,Apartment,4500000.0,Jahi
3,Apartment,10000000.0,Jahi
6,Duplex,80000000.0,Maitama
4,Duplex,25000000.0,Maitama
3,Duplex,32000000.0,Jabi
3,Apartment,8000000.0,Wuye
1,Apartment,6000000.0,Kado
1,Apartment,1600000.0,Lugbe
4,Duplex,30000000.0,Katampe
4,Duplex,14000000.0,Life Camp
4,Duplex,15000000.0,Gwarinpa
4,Duplex,12000000.0,Guzape
4,Duplex,25000000.0,Jabi
5,Duplex,30000000.0,Wuye
4,Duplex,25000000.0,Katampe
5,Duplex,30000000.0,Asokoro
3,Apartment,25000000.0,Asokoro
3,Apartment,10000000.0,Guzape
3,Duplex,32000000.0,Jabi
3,Apartment,10000000.0,Jabi
4,Duplex,25000000.0,Jabi
23,Apartment,180000000.0,Garki
5,Duplex,100000000.0,Asokoro
6,Duplex,35000000.0,Katampe
4,Duplex,15000000.0,Life Camp
1,Apartment,3500000.0,Gwarinpa
6,Apartment,180000000.0,Garki
3,Duplex,25000000.0,Katampe
4,Duplex,13500000.0,Jahi
5,Duplex,60000000.0,Guzape
1,Duplex,2000000.0,Jahi
3,Duplex,10000000.0,Jahi
4,Duplex,22000000.0,Jabi
5,Duplex,25000000.0,Durumi
6,Duplex,37500000.0,Katampe
3,Duplex,32000000.0,Jabi
1,Apartment,2000000.0,Lokogoma
5,Duplex,13000000.0,Wuse
1,Apartment,4000000.0,Wuse
3,Apartment,6500000.0,Utako
3,Bungalow,6000000.0,Lokogoma
4,Duplex,9000000.0,Idu
5,Duplex,75000000.0,Guzape
1,Apartment,2500000.0,Jabi
4,Duplex,30000000.0,Maitama
3,Apartment,5500000.0,Jabi
2,Apartment,6500000.0,Wuye
4,Duplex,9000000.0,Idu
4,Duplex,45000000.0,Guzape
3,Duplex,32000000.0,Jabi
5,Duplex,85000000.0,Asokoro
3,Apartment,90000000.0,Guzape
3,Apartment,10000000.0,Guzape
3,Apartment,6000000.0,Katampe
2,Apartment,6500000.0,Wuye
3,Apartment,5000000.0,Life Camp
6,Duplex,30000000.0,Katampe
4,Duplex,25000000.0,Maitama
3,Apartment,6500000.0,Utako
4,Duplex,35000000.0,Jabi
1,Apartment,2500000.0,Jabi
4,Duplex,15000000.0,Wuye
6,Duplex,35000000.0,Katampe
11,Duplex,15500000.0,Lokogoma
3,Duplex,32000000.0,Jabi
2,Apartment,20000000.0,Katampe
3,Apartment,10000000.0,Wuye
4,Duplex,15000000.0,Life Camp
3,Apartment,8000000.0,Wuye
4,Duplex,15000000.0,Life Camp
3,Apartment,8500000.0,Jahi
3,Apartment,9000000.0,Mabushi
2,Apartment,5000000.0,Durumi
4,Apartment,6000000.0,Wuse
4,Duplex,12000000.0,Jahi
5,Duplex,90000000.0,Maitama
8,Duplex,45000000.0,Wuse
4,Duplex,12000000.0,Jabi
5,Duplex,13000000.0,Lokogoma
3,Apartment,6000000.0,Idu
3,Duplex,32000000.0,Jabi
2,Apartment,3500000.0,Gwarinpa
2,Apartment,33874250.0,Maitama
3,Apartment,60973650.0,Maitama
2,Apartment,47423950.0,Maitama
4,Duplex,30000000.0,Maitama
3,Apartment,12000000.0,Wuye
3,Apartment,15000000.0,Asokoro
3,Apartment,5500000.0,Lugbe
4,Duplex,15000000.0,Asokoro
4,Duplex,1000000000.0,Wuse
2,Apartment,6000000.0,Life Camp
4,Duplex,30000000.0,Katampe
3,Apartment,7000000.0,Life Camp
3,Apartment,12000000.0,Utako
4,Duplex,25000000.0,Maitama
6,Duplex,30000000.0,Katampe
3,Duplex,32000000.0,Jabi
3,Apartment,8500000.0,Jahi
3,Apartment,12000000.0,Utako
2,Apartment,25000000.0,Maitama
24,Duplex,160000000.0,Katampe
5,Duplex,100000000.0,Maitama
2,Apartment,7000000.0,Durumi
4,Duplex,10000000.0,Kado
4,Duplex,5500000.0,Life Camp
6,Duplex,15000000.0,Life Camp
4,Duplex,25000000.0,Wuse
2,Apartment,4000000.0,Lugbe
3,Apartment,8000000.0,Jahi
2,Apartment,7000000.0,Jahi
4,Duplex,15000000.0,Jahi
3,Duplex,10000000.0,Apo
3,Duplex,32000000.0,Jabi
2,Apartment,4500000.0,Gwarinpa
4,Duplex,11000000.0,Life Camp
2,Apartment,10000000.0,Wuye
4,Duplex,20000000.0,Wuye
4,Duplex,25000000.0,Asokoro
4,Duplex,6000000.0,Lugbe
3,Apartment,7500000.0,Mabushi
3,Apartment,9500000.0,Mabushi
4,Duplex,15000000.0,Life Camp
3,Duplex,6500000.0,Lokogoma
3,Duplex,7500000.0,Mabushi
3,Apartment,7500000.0,Mabushi
4,Duplex,18000000.0,Apo
2,Apartment,2200000.0,Lugbe
4,Duplex,15000000.0,Wuye
3,Duplex,32000000.0,Jabi
3,Apartment,75000000.0,Garki
6,Duplex,35000000.0,Katampe
3,Duplex,13000000.0,Asokoro
5,Duplex,40000000.0,Guzape
2,Apartment,12000000.0,Asokoro
3,Apartment,42004070.0,Wuse
6,Duplex,30000000.0,Katampe
2,Bungalow,12000000.0,Asokoro
6,Duplex,35000000.0,Katampe
3,Apartment,5000000.0,Life Camp
4,Duplex,15000000.0,Mabushi
3,Apartment,8000000.0,Mabushi
4,Duplex,25000000.0,Guzape
6,Duplex,35000000.0,Katampe
6,Duplex,35000000.0,Katampe
6,Duplex,35000000.0,Katampe
4,Duplex,25000000.0,Guzape
4,Duplex,12000000.0,Apo
3,Apartment,4000000.0,Lokogoma
3,Duplex,6500000.0,Lokogoma
3,Duplex,32000000.0,Jabi
4,Apartment,6000000.0,Wuse
3,Apartment,6500000.0,Wuye
5,Duplex,18000000.0,Durumi
4,Duplex,15000000.0,Katampe
8,Duplex,150000000.0,Asokoro
5,Duplex,15000000.0,Gwarinpa
4,Duplex,20000000.0,Wuye
4,Duplex,25000000.0,Wuye
3,Apartment,10000000.0,Kado
2,Apartment,4000000.0,Lugbe
4,Duplex,15000000.0,Mabushi
2,Bungalow,4000000.0,Lugbe
2,Apartment,4000000.0,Kaura
4,Duplex,15000000.0,Maitama
6,Duplex,25000000.0,Katampe
2,Apartment,12000000.0,Wuye
3,Apartment,13500000.0,Durumi
4,Duplex,18000000.0,Guzape
3,Apartment,35000000.0,Maitama
3,Duplex,32000000.0,Jabi
4,Duplex,15000000.0,Guzape
3,Apartment,10000000.0,Jahi
2,Apartment,7000000.0,Jahi
3,Apartment,33874250.0,Jabi
2,Apartment,6000000.0,Katampe
1,Apartment,2300000.0,Gwarinpa
4,Duplex,70000000.0,Maitama
3,Apartment,35000000.0,Maitama
5,Duplex,30000000.0,Katampe
3,Apartment,6500000.0,Garki
5,Duplex,100000000.0,Asokoro
