index,Bedrooms,Property Category,District,Price(Float)
118,6,Duplex,Katampe,"20,000,000.00"
119,6,Duplex,Katampe,"20,000,000.00"
120,2,Apartment,Asokoro,"25,000,000.00"
121,1,Apartment,Katampe,"6,000,000.00"
122,2,Apartment,Wuye,"26,000,000.00"
123,2,Apartment,Apo,"7,000,000.00"
124,3,Duplex,Jabi,"32,000,000.00"
125,1,Apartment,Wuye,"10,000,000.00"
126,4,Apartment,Mabushi,"15,000,000.00"
127,4,Apartment,Mabushi,"12,000,000.00"
128,2,Apartment,Maitama,"7,000,000.00"
129,4,Duplex,Apo,"9,000,000.00"
130,3,Apartment,Jabi,"150,000,000.00"
131,3,House,Asokoro,"1,761,461,000,000.00"
132,4,Duplex,Katampe,"20,000,000.00"
133,2,Apartment,Wuye,"18,500,000.00"
134,2,Apartment,Lugbe,"3,500,000.00"
135,3,Bungalow,Kado,"15,000,000.00"
136,4,Duplex,Wuse,"35,000,000.00"
137,1,Apartment,Lokogoma,"700,000.00"
138,2,Apartment,Katampe,"7,500,000.00"
139,3,Apartment,Life Camp,"5,000,000.00"
140,1,Apartment,Durumi,"3,700,000.00"
141,3,Duplex,Jabi,"32,000,000.00"
142,3,Apartment,Jahi,"10,000,000.00"
143,5,Duplex,Apo,"10,000,000.00"
144,3,Apartment,Mabushi,"160,000,000.00"
145,2,Apartment,Wuye,"6,500,000.00"
146,2,Apartment,Jahi,"5,000,000.00"
147,4,Duplex,Lugbe,"10,000,000.00"
148,1,Apartment,Gwarinpa,"4,000,000.00"
149,1,Apartment,Gwarinpa,"2,500,000.00"
150,3,Apartment,Utako,"6,500,000.00"
151,4,Duplex,Lugbe,"9,000,000.00"
152,3,Apartment,Jahi,"8,000,000.00"
153,5,Duplex,Guzape,"55,000,000.00"
154,4,House,Mabushi,"12,000,000.00"
155,3,Apartment,Wuye,"12,000,000.00"
156,3,Apartment,Katampe,"13,000,000.00"
157,6,Duplex,Gwarinpa,"25,000,000.00"
158,4,Duplex,Wuye,"15,000,000.00"
159,3,Duplex,Jabi,"32,000,000.00"
160,3,Duplex,Katampe,"40,000,000.00"
161,4,Duplex,Gwarinpa,"15,000,000.00"
162,5,Duplex,Asokoro,"100,000,000.00"
163,2,Apartment,Mabushi,"4,500,000.00"
164,3,Duplex,Katampe,"40,000,000.00"
165,4,Duplex,Maitama,"45,000,000.00"
166,2,Apartment,Jahi,"10,000,000.00"
167,3,Apartment,Jahi,"10,000,000.00"
168,2,Apartment,Garki,"4,000,000.00"
169,4,Duplex,Apo,"17,000,000.00"
170,4,Duplex,Apo,"12,000,000.00"
171,3,Apartment,Utako,"15,000,000.00"
172,3,Apartment,Utako,"8,000,000.00"
173,3,Duplex,Jabi,"32,000,000.00"
174,4,Duplex,Maitama,"13,000,000.00"
175,4,Duplex,Maitama,"45,000,000.00"
176,2,Apartment,Gwarinpa,"2,000,000.00"
177,1,Apartment,Gwarinpa,"3,500,000.00"
178,2,Apartment,Gwarinpa,"3,000,000.00"
179,3,Apartment,Katampe,"8,000,000.00"
180,1,Apartment,Guzape,"5,500,000.00"
181,3,Apartment,Jahi,"8,000,000.00"
182,3,Apartment,Katampe,"10,000,000.00"
183,5,Duplex,Maitama,"60,000,000.00"
184,4,Duplex,Gwarinpa,"15,000,000.00"
185,5,Duplex,Kaura,"7,500,000.00"
186,2,Apartment,Maitama,"12,000,000.00"
187,3,Apartment,Katampe,"25,000,000.00"
188,5,Duplex,Guzape,"55,000,000.00"
189,3,Apartment,Wuye,"10,000,000.00"
190,4,House,Life Camp,"13,000,000.00"
191,2,Apartment,Life Camp,"7,000,000.00"
192,2,Apartment,Idu,"4,000,000.00"
193,3,Duplex,Jabi,"32,000,000.00"
194,2,Apartment,Wuye,"6,500,000.00"
195,4,Duplex,Wuye,"15,000,000.00"
196,4,Duplex,Gwarinpa,"10,000,000.00"
197,2,House,Mabushi,"4,500,000.00"
198,3,Apartment,Mabushi,"8,500,000.00"
199,2,Apartment,Idu,"4,000,000.00"
200,5,Duplex,Katampe,"20,000,000.00"
201,1,Apartment,Gwarinpa,"2,800,000.00"
202,2,Apartment,Idu,"4,000,000.00"
203,2,Apartment,Lugbe,"3,500,000.00"
204,3,Apartment,Life Camp,"4,500,000.00"
205,3,Apartment,Life Camp,"4,500,000.00"
206,4,Apartment,Maitama,"13,000,000.00"
207,4,Apartment,Maitama,"13,000,000.00"
208,3,Apartment,Wuye,"6,500,000.00"
209,2,Apartment,Durumi,"6,000,000.00"
210,3,Apartment,Katampe,"6,000,000.00"
211,3,Apartment,Jahi,"8,000,000.00"
212,3,Duplex,Jabi,"32,000,000.00"
213,4,Duplex,Mabushi,"15,000,000.00"
214,5,Duplex,Jabi,"20,000,000.00"
215,1,Apartment,Durumi,"3,700,000.00"
216,3,Duplex,Wuye,"12,000,000.00"
217,3,Apartment,Wuye,"10,000,000.00"
218,1,Apartment,Gwarinpa,"1,600,000.00"
219,4,Duplex,Mabushi,"10,000,000.00"
220,1,Apartment,Durumi,"3,700,000.00"
221,4,Duplex,Mabushi,"15,000,000.00"
222,3,Duplex,Apo,"7,500,000.00"
223,3,Apartment,Wuse,"8,000,000.00"
224,3,House,Wuse,"5,000,000.00"
225,6,Duplex,Durumi,"15,000,000.00"
226,4,Duplex,Apo,"15,000,000.00"
227,5,Duplex,Katampe,"17,000,000.00"
228,1,Apartment,Utako,"3,500,000.00"
229,3,Apartment,Wuse,"5,000,000.00"
230,2,Apartment,Idu,"4,000,000.00"
231,3,Duplex,Jabi,"32,000,000.00"
232,5,Duplex,Kado,"25,000,000.00"
233,4,Duplex,Apo,"10,000,000.00"
234,5,Duplex,Katampe,"15,000,000.00"
235,2,Apartment,Maitama,"25,000,000.00"
236,3,Apartment,Jahi,"13,000,000.00"
237,3,Apartment,Jabi,"10,000,000.00"
238,4,Duplex,Garki,"10,000,000.00"
239,3,Apartment,Wuse,"5,000,000.00"
240,1,Apartment,Utako,"3,500,000.00"
241,4,Duplex,Guzape,"25,000,000.00"
242,5,Duplex,Apo,"10,000,000.00"
243,4,Duplex,Idu,"20,000,000.00"
244,2,Apartment,Gwarinpa,"2,700,000.00"
245,1,Apartment,Gwarinpa,"3,500,000.00"
246,2,Apartment,Asokoro,"10,000,000.00"
247,3,Duplex,Jabi,"32,000,000.00"
248,4,Duplex,Asokoro,"15,000,000.00"
249,3,Apartment,Mabushi,"13,000,000.00"
250,2,Apartment,Maitama,"74,523,350.00"
251,4,Duplex,Maitama,"81,298,200.00"
252,3,Apartment,Mabushi,"8,500,000.00"
253,4,Duplex,Wuse,"35,000,000.00"
254,4,Duplex,Gwarinpa,"8,000,000.00"
255,3,Apartment,Wuye,"20,000,000.00"
256,4,Duplex,Wuye,"25,000,000.00"
257,4,Duplex,Jabi,"25,000,000.00"
258,2,Apartment,Jabi,"20,000,000.00"
259,3,Apartment,Jabi,"25,000,000.00"
260,3,Apartment,Wuse,"5,000,000.00"
261,5,Duplex,Maitama,"100,000,000.00"
262,1,Apartment,Jahi,"7,500,000.00"
263,3,Apartment,Jahi,"10,000,000.00"
264,3,Duplex,Jabi,"32,000,000.00"
265,3,Apartment,Life Camp,"6,000,000.00"
266,2,Apartment,Maitama,"12,000,000.00"
267,2,Apartment,Maitama,"3,500,000.00"
268,3,House,Maitama,"7,000,000.00"
269,2,Apartment,Life Camp,"3,000,000.00"
270,5,Duplex,Wuye,"35,000,000.00"
271,5,Duplex,Apo,"10,000,000.00"
272,6,Duplex,Life Camp,"30,000,000.00"
273,2,Apartment,Mabushi,"4,000,000.00"
274,4,Duplex,Wuye,"15,000,000.00"
275,4,Bungalow,Gwarinpa,"8,500,000.00"
276,5,Duplex,Gwarinpa,"12,000,000.00"
277,2,Apartment,Maitama,"4,000,000.00"
278,1,Apartment,Jahi,"2,500,000.00"
279,3,Duplex,Jabi,"32,000,000.00"
280,3,Apartment,Mabushi,"5,700,000.00"
281,4,Duplex,Jabi,"25,000,000.00"
282,2,Apartment,Apo,"50,000,000.00"
283,3,Apartment,Garki,"75,000,000.00"
284,5,Duplex,Idu,"15,000,000.00"
285,3,Apartment,Idu,"6,000,000.00"
286,4,Duplex,Mabushi,"15,000,000.00"
287,3,Duplex,Mabushi,"12,000,000.00"
288,4,Duplex,Maitama,"30,000,000.00"
289,3,Apartment,Mabushi,"5,700,000.00"
290,3,Apartment,Guzape,"8,000,000.00"
291,6,Duplex,Durumi,"15,000,000.00"
292,5,Duplex,Gwarinpa,"20,000,000.00"
293,1,Apartment,Gwarinpa,"3,500,000.00"
294,4,Duplex,Life Camp,"20,000,000.00"
295,3,Apartment,Garki,"8,000,000.00"
296,3,Duplex,Jabi,"32,000,000.00"
297,1,Apartment,Lugbe,"2,500,000.00"
298,4,Duplex,Lugbe,"10,000,000.00"
299,3,Apartment,Maitama,"15,000,000.00"
300,2,House,Maitama,"27,000,000.00"
301,2,Apartment,Jahi,"6,000,000.00"
302,1,Apartment,Apo,"1,500,000.00"
303,3,Apartment,Apo,"7,000,000.00"
304,4,Duplex,Mabushi,"12,000,000.00"
305,4,Duplex,Jabi,"27,000,000.00"
306,1,Apartment,Kaura,"2,000,000.00"
307,2,Apartment,Gwarinpa,"2,600,000.00"
308,3,Apartment,Jabi,"6,000,000.00"
309,3,Duplex,Jabi,"32,000,000.00"
310,2,Bungalow,Lugbe,"2,200,000.00"
311,5,Duplex,Mabushi,"20,000,000.00"
312,3,Apartment,Gwarinpa,"5,500,000.00"
313,6,Apartment,Lokogoma,"15,000,000.00"
314,4,Apartment,Guzape,"20,000,000.00"
315,2,Apartment,Life Camp,"5,000,000.00"
316,4,Duplex,Guzape,"18,000,000.00"
317,3,Apartment,Guzape,"10,000,000.00"
318,5,Duplex,Guzape,"25,000,000.00"
319,2,Apartment,Apo,"5,500,000.00"
320,5,Duplex,Katampe,"17,000,000.00"
321,5,Duplex,Guzape,"75,000,000.00"
322,3,Apartment,Jabi,"8,500,000.00"
323,3,Apartment,Gwarinpa,"5,000,000.00"
324,2,Apartment,Life Camp,"4,500,000.00"
325,1,Apartment,Life Camp,"4,000,000.00"
326,4,Duplex,Wuye,"35,000,000.00"
327,3,Duplex,Jabi,"32,000,000.00"
328,5,Duplex,Wuye,"35,000,000.00"
329,2,Apartment,Life Camp,"5,000,000.00"
330,5,Duplex,Wuye,"35,000,000.00"
331,4,Duplex,Wuye,"35,000,000.00"
332,2,Apartment,Lugbe,"3,000,000.00"
333,3,Apartment,Wuye,"7,000,000.00"
334,2,Apartment,Wuye,"8,000,000.00"
335,4,Duplex,Mabushi,"12,000,000.00"
336,1,Apartment,Jahi,"6,000,000.00"
337,4,Duplex,Jabi,"30,000,000.00"
338,2,Apartment,Katampe,"4,500,000.00"
339,4,Duplex,Mabushi,"11,000,000.00"
340,4,Apartment,Mabushi,"10,000,000.00"
341,2,Apartment,Gwarinpa,"4,000,000.00"
342,3,Apartment,Mabushi,"8,000,000.00"
343,3,Apartment,Gwarinpa,"4,500,000.00"
344,3,Duplex,Jabi,"32,000,000.00"
345,3,Apartment,Wuse,"5,000,000.00"
346,4,Duplex,Guzape,"20,000,000.00"
347,3,Apartment,Maitama,"19,000,000.00"
348,5,Duplex,Wuye,"35,000,000.00"
349,4,Duplex,Guzape,"20,000,000.00"
350,5,Duplex,Katampe,"30,000,000.00"
351,3,Apartment,Jahi,"9,000,000.00"
352,5,Duplex,Kado,"30,000,000.00"
353,3,Apartment,Lugbe,"13,000,000.00"
354,5,Duplex,Utako,"35,000,000.00"
355,5,Duplex,Apo,"12,000,000.00"
356,3,Apartment,Jahi,"13,500,000.00"
357,2,Apartment,Jahi,"115,000,000.00"
358,2,Apartment,Guzape,"85,000,000.00"
359,4,Duplex,Guzape,"12,000,000.00"
360,3,Duplex,Jabi,"32,000,000.00"
361,3,Apartment,Wuse,"9,000,000.00"
362,3,Apartment,Wuse,"8,000,000.00"
363,3,Apartment,Katampe,"8,500,000.00"
364,3,Apartment,Idu,"6,000,000.00"
365,3,Apartment,Asokoro,"15,000,000.00"
366,3,Apartment,Gwarinpa,"5,000,000.00"
367,4,Duplex,Wuse,"25,000,000.00"
368,3,Apartment,Durumi,"6,000,000.00"
369,2,Apartment,Utako,"6,000,000.00"
370,4,Bungalow,Gwarinpa,"8,500,000.00"
371,3,Duplex,Asokoro,"13,000,000.00"
372,4,Duplex,Life Camp,"10,500,000.00"
373,4,Duplex,Jahi,"10,000,000.00"
374,4,Apartment,Mabushi,"11,500,000.00"
375,3,Duplex,Jabi,"32,000,000.00"
376,3,Apartment,Maitama,"15,000,000.00"
377,3,Apartment,Mabushi,"10,000,000.00"
378,5,Duplex,Utako,"35,000,000.00"
379,2,House,Lugbe,"4,000,000.00"
380,7,Duplex,Asokoro,"130,000,000.00"
381,5,Duplex,Katampe,"15,000,000.00"
382,3,Apartment,Jahi,"11,500,000.00"
383,2,Bungalow,Wuse,"45,000,000.00"
384,4,Duplex,Gwarinpa,"10,000,000.00"
385,2,Apartment,Jahi,"4,500,000.00"
386,3,Apartment,Gwarinpa,"6,000,000.00"
387,4,Duplex,Gwarinpa,"40,000,000.00"
388,2,Bungalow,Guzape,"700,000.00"
389,6,Duplex,Asokoro,"90,000,000.00"
390,3,Duplex,Jabi,"32,000,000.00"
391,2,Apartment,Lugbe,"3,500,000.00"
392,1,Apartment,Katampe,"160,000,000.00"
393,1,Apartment,Katampe,"8,000,000.00"
394,2,Apartment,Wuse,"22,000,000.00"
395,4,Duplex,Life Camp,"20,000,000.00"
396,3,Apartment,Mabushi,"1,500,000.00"
397,5,Duplex,Wuye,"20,000,000.00"
398,5,Duplex,Mabushi,"15,000,000.00"
399,9,House,Life Camp,"32,000,000.00"
400,24,Apartment,Katampe,"160,000,000.00"
401,4,Duplex,Life Camp,"10,000,000.00"
402,3,Duplex,Lugbe,"15,000,000.00"
403,3,Apartment,Gwarinpa,"6,000,000.00"
404,12,Duplex,Maitama,"100,000,000.00"
405,3,Duplex,Jabi,"32,000,000.00"
406,4,Duplex,Mabushi,"15,000,000.00"
407,3,Apartment,Jahi,"11,500,000.00"
408,5,Duplex,Katampe,"20,000,000.00"
409,4,Duplex,Life Camp,"25,000,000.00"
410,3,Apartment,Life Camp,"5,000,000.00"
411,2,Apartment,Katampe,"14,000,000.00"
412,3,Apartment,Life Camp,"5,000,000.00"
413,2,Apartment,Maitama,"25,000,000.00"
414,5,Duplex,Guzape,"35,000,000.00"
415,5,Duplex,Apo,"30,000,000.00"
416,4,Apartment,Lugbe,"4,500,000.00"
417,1,Apartment,Katampe,"4,500,000.00"
418,4,Duplex,Maitama,"25,000,000.00"
419,3,Apartment,Durumi,"9,000,000.00"
420,4,Apartment,Wuye,"8,000,000.00"
421,2,Apartment,Idu,"4,000,000.00"
422,1,Apartment,Lokogoma,"1,500,000.00"
423,3,Apartment,Wuse,"35,000,000.00"
424,3,Duplex,Jabi,"32,000,000.00"
425,3,Apartment,Wuse,"35,000,000.00"
426,5,Duplex,Apo,"10,000,000.00"
427,3,Apartment,Wuse,"47,423,950.00"
428,3,Apartment,Wuse,"50,000,000.00"
429,3,Apartment,Guzape,"25,000,000.00"
430,2,Apartment,Guzape,"21,000,000.00"
431,4,Duplex,Guzape,"35,000,000.00"
432,3,Duplex,Asokoro,"474,239,500.00"
433,4,House,Apo,"20,000,000.00"
434,3,Apartment,Guzape,"10,000,000.00"
435,2,Apartment,Mabushi,"15,000,000.00"
436,3,Apartment,Guzape,"10,000,000.00"
437,5,House,Asokoro,"45,000,000.00"
438,2,Apartment,Asokoro,"8,000,000.00"
439,2,Apartment,Jahi,"11,500,000.00"
440,3,Duplex,Jabi,"32,000,000.00"
441,3,Apartment,Kaura,"8,000,000.00"
442,2,Apartment,Kaura,"7,000,000.00"
443,4,Duplex,Life Camp,"25,000,000.00"
444,3,Apartment,Jahi,"5,000,000.00"
445,5,Duplex,Katampe,"30,000,000.00"
446,5,Duplex,Asokoro,"30,000,000.00"
447,5,Duplex,Utako,"30,000,000.00"
448,4,Duplex,Apo,"11,000,000.00"
449,4,House,Maitama,"75,000,000.00"
450,4,Duplex,Katampe,"25,000,000.00"
451,3,Apartment,Utako,"12,000,000.00"
452,4,Duplex,Mabushi,"15,000,000.00"
453,4,Duplex,Mabushi,"12,000,000.00"
454,6,Duplex,Wuse,"45,000,000.00"
455,3,House,Maitama,"67,748,500.00"
456,2,Apartment,Durumi,"5,500,000.00"
457,4,Duplex,Asokoro,"20,000,000.00"
458,3,House,Asokoro,"50,133,890.00"
459,5,Duplex,Guzape,"20,000,000.00"
460,3,Duplex,Jabi,"32,000,000.00"
461,4,Duplex,Guzape,"47,423,950.00"
462,5,Duplex,Apo,"25,000,000.00"
463,5,Duplex,Guzape,"15,000,000.00"
464,5,House,Maitama,"50,000,000.00"
465,2,Apartment,Jahi,"6,000,000.00"
466,3,Apartment,Jahi,"8,000,000.00"
467,4,Duplex,Lugbe,"7,500,000.00"
468,5,Duplex,Apo,"25,000,000.00"
469,4,Duplex,Maitama,"30,000,000.00"
470,5,Duplex,Guzape,"80,000,000.00"
471,2,Apartment,Durumi,"5,000,000.00"
472,4,Duplex,Guzape,"15,000,000.00"
473,4,Apartment,Mabushi,"15,000,000.00"
474,3,Duplex,Apo,"8,000,000.00"
475,3,Apartment,Idu,"5,800,000.00"
476,3,Apartment,Katampe,"8,000,000.00"
477,2,Apartment,Life Camp,"6,000,000.00"
478,3,Apartment,Life Camp,"7,000,000.00"
479,3,Duplex,Jabi,"32,000,000.00"
480,3,Duplex,Garki,"15,000,000.00"
481,2,Apartment,Wuye,"9,000,000.00"
482,3,Apartment,Life Camp,"6,700,000.00"
483,2,Apartment,Life Camp,"6,000,000.00"
484,4,Duplex,Jahi,"10,000,000.00"
485,4,Duplex,Jahi,"13,000,000.00"
486,5,Duplex,Maitama,"80,000,000.00"
487,1,Bungalow,Lokogoma,"2,500,000.00"
488,2,Apartment,Jahi,"7,000,000.00"
489,4,Duplex,Jahi,"14,000,000.00"
490,5,Duplex,Maitama,"80,000,000.00"
491,3,Duplex,Asokoro,"9,000,000.00"
492,5,Duplex,Asokoro,"100,000,000.00"
493,4,Duplex,Guzape,"17,000,000.00"
494,4,Duplex,Mabushi,"12,000,000.00"
495,2,Apartment,Wuse,"19,000,000.00"
496,2,Apartment,Wuse,"22,000,000.00"
497,2,Apartment,Gwarinpa,"4,000,000.00"
498,3,Duplex,Jabi,"32,000,000.00"
499,1,Apartment,Jabi,"11,000,000.00"
500,4,Duplex,Wuye,"18,000,000.00"
501,3,Apartment,Jabi,"5,500,000.00"
502,5,Duplex,Apo,"25,000,000.00"
503,4,Duplex,Life Camp,"15,000,000.00"
504,8,Duplex,Life Camp,"35,000,000.00"
505,3,Apartment,Life Camp,"7,000,000.00"
506,5,House,Katampe,"30,000,000.00"
507,3,Apartment,Lugbe,"4,500,000.00"
508,6,Duplex,Katampe,"35,000,000.00"
509,3,Apartment,Jahi,"9,000,000.00"
510,4,Duplex,Mabushi,"15,000,000.00"
511,6,Duplex,Katampe,"20,000,000.00"
512,3,Apartment,Wuse,"18,000,000.00"
513,3,Apartment,Guzape,"10,000,000.00"
514,3,Apartment,Jahi,"8,500,000.00"
515,2,Apartment,Guzape,"9,000,000.00"
516,3,Duplex,Jabi,"32,000,000.00"
517,6,Duplex,Lokogoma,"10,000,000.00"
518,3,Bungalow,Kado,"17,000,000.00"
519,4,Duplex,Mabushi,"15,000,000.00"
520,5,Duplex,Utako,"120,000,000.00"
521,4,Apartment,Idu,"6,500,000.00"
522,3,Apartment,Guzape,"9,000,000.00"
523,4,Duplex,Idu,"9,000,000.00"
524,4,Duplex,Katampe,"30,000,000.00"
525,4,Duplex,Maitama,"30,000,000.00"
526,3,Apartment,Mabushi,"7,500,000.00"
527,4,Duplex,Gwarinpa,"8,500,000.00"
528,4,Duplex,Mabushi,"15,000,000.00"
529,1,Apartment,Kado,"3,500,000.00"
530,3,Duplex,Asokoro,"20,000,000.00"
531,3,Apartment,Apo,"10,000,000.00"
532,2,Apartment,Apo,"7,500,000.00"
533,1,Apartment,Apo,"5,000,000.00"
534,4,Duplex,Apo,"11,000,000.00"
535,3,Duplex,Jabi,"32,000,000.00"
536,4,Duplex,Apo,"12,500,000.00"
537,2,Apartment,Lugbe,"2,000,000.00"
538,4,Duplex,Life Camp,"15,000,000.00"
539,4,Duplex,Asokoro,"80,000,000.00"
540,2,Apartment,Jahi,"4,500,000.00"
541,1,Apartment,Lugbe,"2,000,000.00"
542,3,Apartment,Maitama,"35,000,000.00"
543,4,Duplex,Guzape,"18,000,000.00"
544,5,Duplex,Maitama,"50,000,000.00"
545,3,Apartment,Guzape,"9,000,000.00"
546,3,Apartment,Mabushi,"10,000,000.00"
547,2,Apartment,Asokoro,"88,073,050.00"
548,4,Duplex,Life Camp,"350,000,000.00"
549,2,Apartment,Garki,"33,000,000.00"
550,3,Apartment,Katampe,"25,000,000.00"
551,3,Apartment,Wuye,"10,000,000.00"
552,3,Duplex,Jabi,"32,000,000.00"
553,4,Duplex,Katampe,"25,000,000.00"
554,4,Duplex,Asokoro,"80,000,000.00"
555,3,Apartment,Mabushi,"9,000,000.00"
556,4,House,Maitama,"30,000,000.00"
557,5,Duplex,Asokoro,"20,000,000.00"
558,2,Apartment,Guzape,"25,000,000.00"
559,5,Duplex,Guzape,"100,000,000.00"
560,4,Duplex,Wuye,"15,000,000.00"
561,5,Duplex,Guzape,"35,000,000.00"
562,4,Duplex,Mabushi,"15,000,000.00"
563,3,Apartment,Mabushi,"7,500,000.00"
564,4,Duplex,Guzape,"15,000,000.00"
565,6,Duplex,Gwarinpa,"35,000,000.00"
566,5,House,Katampe,"15,000,000.00"
567,3,Duplex,Jabi,"32,000,000.00"
568,5,House,Katampe,"17,500,000.00"
569,6,Duplex,Katampe,"37,000,000.00"
570,5,Duplex,Guzape,"25,000,000.00"
571,3,Apartment,Katampe,"8,500,000.00"
572,32,Apartment,Jabi,"160,000,000.00"
573,1,Apartment,Katampe,"6,000,000.00"
574,4,Duplex,Jabi,"25,000,000.00"
575,5,Duplex,Guzape,"28,000,000.00"
