Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
flat / apartment,"₦5,000,000","Games Village, Kaura, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Kaura
semi-detached duplex,"₦15,000,000","Works And Housing, Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦12,000,000","By Lento Aluminum, Life Camp, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Life Camp
flat / apartment,"$40,000","Jabi, Abuja",4,Apartment,"₦54,198,800.00","54,198,800.00",Jabi
flat / apartment,"₦10,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
detached bungalow,"₦8,000,000","Jahi, Abuja",3,Bungalow,"₦8,000,000.00","8,000,000.00",Jahi
detached duplex,"₦50,000,000","Asokoro District, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Asokoro
terraced duplex,"₦12,000,000","Kado, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Kado
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
detached bungalow,"₦30,000,000","Guzape District, Abuja",3,Bungalow,"₦30,000,000.00","30,000,000.00",Guzape
terraced duplex,"₦15,000,000","Mobil Fillings Station, Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
terraced duplex,"₦20,000,000","Kado, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Kado
terraced duplex,"₦15,000,000","Mobil Fillings Station Before Wuse 2, Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuse
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦10,000,000","Rockvale Manors Estate Apo Dutse, Apo, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Apo
terraced duplex,"₦10,000,000","Lento Aluminum, Life Camp, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Life Camp
detached duplex,"₦20,000,000","Katampe Main, Katampe, Abuja",6,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
mini flat (room and parlour),"₦1,800,000","Lokogoma District, Abuja",1,Apartment,"₦1,800,000.00","1,800,000.00",Lokogoma
detached duplex,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Asokoro
detached duplex,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Asokoro
flat / apartment,"₦13,500,000","Riverpark Estate Along Airport Road By Dunamis Church, Lugbe District, Abuja",3,Apartment,"₦13,500,000.00","13,500,000.00",Lugbe
flat / apartment,"₦6,000,000","By Living Faith, Katampe (Main), Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
flat / apartment,"₦5,000,000","By Aduvie School, Jahi, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Jahi
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",6,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦25,000,000","Asokoro District, Abuja",2,Apartment,"₦25,000,000.00","25,000,000.00",Asokoro
flat / apartment,"₦6,000,000","Katampe, Abuja",1,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
flat / apartment,"₦26,000,000","Wuye, Abuja",2,Apartment,"₦26,000,000.00","26,000,000.00",Wuye
flat / apartment,"₦7,000,000","Apo Resettlement, Apo Resettlement, Apo, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Apo
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦10,000,000","Wuye, Abuja",1,Apartment,"₦10,000,000.00","10,000,000.00",Wuye
flat / apartment,"₦15,000,000","Mabushi, Abuja",4,Apartment,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦12,000,000","Mabushi, Abuja",4,Apartment,"₦12,000,000.00","12,000,000.00",Mabushi
flat / apartment,"₦7,000,000","Maitama Main, Maitama District, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Maitama
semi-detached duplex,"₦9,000,000","Apo Dutse Before Cedarcrest Hospital, Apo, Abuja",4,Duplex,"₦9,000,000.00","9,000,000.00",Apo
flat / apartment,"₦150,000,000","Jabi, Abuja",3,Apartment,"₦150,000,000.00","150,000,000.00",Jabi
detached bungalow,"$1,300,000,000","Off Ecowas, Asokoro District, Abuja",3,Bungalow,"₦1,761,461,000,000.00","1,761,461,000,000.00",Asokoro
terraced duplex,"₦20,000,000","Katampe, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦18,500,000","Okonju Oweala, Wuye, Abuja",2,Apartment,"₦18,500,000.00","18,500,000.00",Wuye
flat / apartment,"₦3,500,000","Aiben Boulevard Estate, Aco, Lugbe District, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Lugbe
detached bungalow,"₦15,000,000","Phase 1, Kado Estate, Kado, Abuja",3,Bungalow,"₦15,000,000.00","15,000,000.00",Kado
terraced duplex,"₦35,000,000","Wuse 2, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Wuse
flat / apartment,"₦700,000","Lokogoma District, Abuja",1,Apartment,"₦700,000.00","700,000.00",Lokogoma
flat / apartment,"₦7,500,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦7,500,000.00","7,500,000.00",Katampe
flat / apartment,"₦5,000,000","Life Camp, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
mini flat (room and parlour),"₦3,700,000","Durumi, Abuja",1,Apartment,"₦3,700,000.00","3,700,000.00",Durumi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
detached duplex,"₦10,000,000","Apo, Abuja",5,Duplex,"₦10,000,000.00","10,000,000.00",Apo
flat / apartment,"₦160,000,000","Mabushi, Abuja",3,Apartment,"₦160,000,000.00","160,000,000.00",Mabushi
flat / apartment,"₦6,500,000","Wuye, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
flat / apartment,"₦5,000,000","Jahi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Jahi
terraced duplex,"₦10,000,000","Palm Heights Estate Von Road, Off Airport Road, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Lugbe
flat / apartment,"₦4,000,000","6th Avenue, Gwarinpa, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Gwarinpa
flat / apartment,"₦2,500,000","Dawaki Extension, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Gwarinpa
flat / apartment,"₦6,500,000","By Arab, Utako, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Utako
detached duplex,"₦9,000,000","Along Von Road, Lugbe District, Abuja",4,Duplex,"₦9,000,000.00","9,000,000.00",Lugbe
flat / apartment,"₦8,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
semi-detached duplex,"₦55,000,000","Guzape District, Abuja",5,Duplex,"₦55,000,000.00","55,000,000.00",Guzape
detached duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
flat / apartment,"₦12,000,000","Wuye, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Wuye
flat / apartment,"₦13,000,000","Katampe, Abuja",3,Apartment,"₦13,000,000.00","13,000,000.00",Katampe
detached duplex,"₦25,000,000","4th Avenue, Gwarinpa, Abuja",6,Duplex,"₦25,000,000.00","25,000,000.00",Gwarinpa
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦40,000,000","Diplomatic Zones, Katampe Extension, Katampe, Abuja",3,Duplex,"₦40,000,000.00","40,000,000.00",Katampe
semi-detached duplex,"₦15,000,000","Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
detached duplex,"₦100,000,000","Asokoro District, Abuja",5,Duplex,"₦100,000,000.00","100,000,000.00",Asokoro
flat / apartment,"₦4,500,000","Mabushi, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Mabushi
terraced duplex,"₦40,000,000","Katampe Extension, Katampe, Abuja",3,Duplex,"₦40,000,000.00","40,000,000.00",Katampe
semi-detached duplex,"₦45,000,000","Ministers Hills, Maitama District, Abuja",4,Duplex,"₦45,000,000.00","45,000,000.00",Maitama
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦4,000,000","Area 11, Garki, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Garki
terraced duplex,"₦17,000,000","Apo Dutse, Apo, Abuja",4,Duplex,"₦17,000,000.00","17,000,000.00",Apo
detached duplex,"₦12,000,000","By Cedercrest Hospital, Apo, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Apo
flat / apartment,"₦15,000,000","Utako, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Utako
flat / apartment,"₦8,000,000","Utako, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Utako
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦13,000,000","Hillview Estate Maitama 2, Maitama District, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Maitama
terraced duplex,"₦45,000,000","Maitama District, Abuja",4,Duplex,"₦45,000,000.00","45,000,000.00",Maitama
flat / apartment,"₦2,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,000,000.00","2,000,000.00",Gwarinpa
flat / apartment,"₦3,500,000","News Engineering Dawaki, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Gwarinpa
flat / apartment,"₦3,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,000,000.00","3,000,000.00",Gwarinpa
flat / apartment,"₦8,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦5,500,000","Guzape District, Abuja",1,Apartment,"₦5,500,000.00","5,500,000.00",Guzape
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦10,000,000","Katampe, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Katampe
semi-detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
semi-detached duplex,"₦15,000,000","Gwarinpa Main, Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦7,500,000","Opposite Suncity Estate, Kaura, Abuja",5,Duplex,"₦7,500,000.00","7,500,000.00",Kaura
flat / apartment,"₦12,000,000","Maitama District, Abuja",2,Apartment,"₦12,000,000.00","12,000,000.00",Maitama
flat / apartment,"₦25,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦25,000,000.00","25,000,000.00",Katampe
semi-detached duplex,"₦55,000,000","Guzape District, Abuja",5,Duplex,"₦55,000,000.00","55,000,000.00",Guzape
flat / apartment,"₦10,000,000","Wuye, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Wuye
detached duplex,"₦13,000,000","Life Camp, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Life Camp
flat / apartment,"₦7,000,000","Life Camp, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦4,000,000","Idu Industrial, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Idu
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,500,000","Wuye, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
terraced duplex,"₦15,000,000","By Value Mart, Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
terraced duplex,"₦10,000,000","Dantata Estate, Gwarinpa, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Gwarinpa
detached bungalow,"₦4,500,000","Mabushi, Abuja",2,Bungalow,"₦4,500,000.00","4,500,000.00",Mabushi
flat / apartment,"₦8,500,000","Mabushi, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Mabushi
flat / apartment,"₦4,000,000","Idu Industrial, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Idu
terraced duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
mini flat (room and parlour),"₦2,800,000","5th Avenue, Gwarinpa, Abuja",1,Apartment,"₦2,800,000.00","2,800,000.00",Gwarinpa
flat / apartment,"₦4,000,000","Idu, Idu Industrial, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Idu
flat / apartment,"₦3,500,000","Old Redeemed Church Street, Off Andrew Ighelli Street, FHA (F.H.A), Lugbe District, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Lugbe
flat / apartment,"₦4,500,000","Near Ochacho, Life Camp, Abuja",3,Apartment,"₦4,500,000.00","4,500,000.00",Life Camp
flat / apartment,"₦4,500,000","Near Ochacho, Life Camp, Abuja",3,Apartment,"₦4,500,000.00","4,500,000.00",Life Camp
flat / apartment,"₦13,000,000","Maitama 2, Maitama District, Abuja",4,Apartment,"₦13,000,000.00","13,000,000.00",Maitama
flat / apartment,"₦13,000,000","Maitama 2 District, Maitama 2, Maitama District, Abuja",4,Apartment,"₦13,000,000.00","13,000,000.00",Maitama
flat / apartment,"₦6,500,000","By Kia Acedemy, Wuye, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
flat / apartment,"₦6,000,000","Durumi, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Durumi
flat / apartment,"₦6,000,000","Katampe, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
flat / apartment,"₦8,000,000","By Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
detached duplex,"₦20,000,000","Jabi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Jabi
flat / apartment,"₦3,700,000","Durumi, Abuja",1,Apartment,"₦3,700,000.00","3,700,000.00",Durumi
terraced duplex,"₦12,000,000","Wuye, Abuja",3,Duplex,"₦12,000,000.00","12,000,000.00",Wuye
flat / apartment,"₦10,000,000","After Wuye Market, Wuye, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Wuye
