,index,Bedrooms,Property Category,District,Price(Float),Price_Per_Bed,effective_bedrooms,price_per_bedroom,district_tier,property_type_code
81,81,4,Duplex,Jabi,25000000.0,6250000.0,4,6250000.0,Luxury,2
82,82,5,Duplex,Utako,30000000.0,6000000.0,5,6000000.0,Mid-Range,2
83,83,3,Apartment,Mabushi,12000000.0,4000000.0,3,4000000.0,Mid-Range,0
84,84,4,Duplex,Lugbe,7000000.0,1750000.0,4,1750000.0,Budget,2
85,85,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
86,86,2,Apartment,Mabushi,4500000.0,2250000.0,2,2250000.0,Mid-Range,0
87,87,3,Apartment,Jahi,10000000.0,3333333.3333333335,3,3333333.3333333335,Mid-Range,0
88,88,3,Apartment,Jahi,12000000.0,4000000.0,3,4000000.0,Mid-Range,0
89,89,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
90,90,4,House,Guzape,30000000.0,7500000.0,4,7500000.0,Luxury,3
91,91,3,Apartment,Wuye,8000000.0,2666666.6666666665,3,2666666.6666666665,Luxury,0
92,92,4,Duplex,Guzape,17000000.0,4250000.0,4,4250000.0,Luxury,2
93,93,3,Apartment,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
94,94,4,Duplex,Guzape,30000000.0,7500000.0,4,7500000.0,Luxury,2
95,95,3,Apartment,Kaura,5000000.0,1666666.6666666667,3,1666666.6666666667,Budget,0
96,96,4,Duplex,Gwarinpa,15000000.0,3750000.0,4,3750000.0,Budget,2
97,97,4,Duplex,Life Camp,12000000.0,3000000.0,4,3000000.0,Budget,2
99,99,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
100,100,3,House,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,3
101,101,5,Duplex,Asokoro,50000000.0,10000000.0,5,10000000.0,Luxury,2
102,102,4,Duplex,Kado,12000000.0,3000000.0,4,3000000.0,Mid-Range,2
103,103,6,Duplex,Katampe,20000000.0,3333333.3333333335,6,3333333.3333333335,Luxury,2
104,104,3,House,Guzape,30000000.0,10000000.0,3,10000000.0,Luxury,3
105,105,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
106,106,5,Duplex,Kado,20000000.0,4000000.0,5,4000000.0,Mid-Range,2
107,107,4,Duplex,Wuse,15000000.0,3750000.0,4,3750000.0,Luxury,2
108,108,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
109,109,3,Duplex,Apo,10000000.0,3333333.3333333335,3,3333333.3333333335,Mid-Range,2
110,110,4,Duplex,Life Camp,10000000.0,2500000.0,4,2500000.0,Budget,2
111,111,6,House,Katampe,20000000.0,3333333.3333333335,6,3333333.3333333335,Luxury,3
112,112,1,Apartment,Lokogoma,1800000.0,1800000.0,1,1800000.0,Budget,0
113,113,4,House,Asokoro,15000000.0,3750000.0,4,3750000.0,Luxury,3
114,114,4,House,Asokoro,15000000.0,3750000.0,4,3750000.0,Luxury,3
115,115,3,Apartment,Lugbe,13500000.0,4500000.0,3,4500000.0,Budget,0
116,116,2,Apartment,Katampe,6000000.0,3000000.0,2,3000000.0,Luxury,0
117,117,3,Apartment,Jahi,5000000.0,1666666.6666666667,3,1666666.6666666667,Mid-Range,0
118,118,6,Duplex,Katampe,20000000.0,3333333.3333333335,6,3333333.3333333335,Luxury,2
119,119,6,Duplex,Katampe,20000000.0,3333333.3333333335,6,3333333.3333333335,Luxury,2
120,120,2,Apartment,Asokoro,25000000.0,12500000.0,2,12500000.0,Luxury,0
121,121,1,Apartment,Katampe,6000000.0,6000000.0,1,6000000.0,Luxury,0
122,122,2,Apartment,Wuye,26000000.0,13000000.0,2,13000000.0,Luxury,0
123,123,2,Apartment,Apo,7000000.0,3500000.0,2,3500000.0,Mid-Range,0
124,124,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
125,125,1,Apartment,Wuye,10000000.0,10000000.0,1,10000000.0,Luxury,0
126,126,4,Apartment,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,0
127,127,4,Apartment,Mabushi,12000000.0,3000000.0,4,3000000.0,Mid-Range,0
128,128,2,Apartment,Maitama,7000000.0,3500000.0,2,3500000.0,Luxury,0
129,129,4,Duplex,Apo,9000000.0,2250000.0,4,2250000.0,Mid-Range,2
132,132,4,Duplex,Katampe,20000000.0,5000000.0,4,5000000.0,Luxury,2
133,133,2,Apartment,Wuye,18500000.0,9250000.0,2,9250000.0,Luxury,0
134,134,2,Apartment,Lugbe,3500000.0,1750000.0,2,1750000.0,Budget,0
135,135,3,Bungalow,Kado,15000000.0,5000000.0,3,5000000.0,Mid-Range,1
136,136,4,Duplex,Wuse,35000000.0,8750000.0,4,8750000.0,Luxury,2
137,137,1,Apartment,Lokogoma,700000.0,700000.0,1,700000.0,Budget,0
138,138,2,Apartment,Katampe,7500000.0,3750000.0,2,3750000.0,Luxury,0
139,139,3,Apartment,Life Camp,5000000.0,1666666.6666666667,3,1666666.6666666667,Budget,0
140,140,1,Apartment,Durumi,3700000.0,3700000.0,1,3700000.0,Budget,0
141,141,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
142,142,3,Apartment,Jahi,10000000.0,3333333.3333333335,3,3333333.3333333335,Mid-Range,0
143,143,5,Duplex,Apo,10000000.0,2000000.0,5,2000000.0,Mid-Range,2
145,145,2,Apartment,Wuye,6500000.0,3250000.0,2,3250000.0,Luxury,0
146,146,2,Apartment,Jahi,5000000.0,2500000.0,2,2500000.0,Mid-Range,0
147,147,4,Duplex,Lugbe,10000000.0,2500000.0,4,2500000.0,Budget,2
148,148,1,Apartment,Gwarinpa,4000000.0,4000000.0,1,4000000.0,Budget,0
149,149,1,Apartment,Gwarinpa,2500000.0,2500000.0,1,2500000.0,Budget,0
150,150,3,Apartment,Utako,6500000.0,2166666.6666666665,3,2166666.6666666665,Mid-Range,0
151,151,4,Duplex,Lugbe,9000000.0,2250000.0,4,2250000.0,Budget,2
152,152,3,Apartment,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
154,154,4,House,Mabushi,12000000.0,3000000.0,4,3000000.0,Mid-Range,3
155,155,3,Apartment,Wuye,12000000.0,4000000.0,3,4000000.0,Luxury,0
156,156,3,Apartment,Katampe,13000000.0,4333333.333333333,3,4333333.333333333,Luxury,0
157,157,6,Duplex,Gwarinpa,25000000.0,4166666.6666666665,6,4166666.6666666665,Budget,2
158,158,4,Duplex,Wuye,15000000.0,3750000.0,4,3750000.0,Luxury,2
159,159,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
160,160,3,Duplex,Katampe,40000000.0,13333333.333333334,3,13333333.333333334,Luxury,2
161,161,4,Duplex,Gwarinpa,15000000.0,3750000.0,4,3750000.0,Budget,2
163,163,2,Apartment,Mabushi,4500000.0,2250000.0,2,2250000.0,Mid-Range,0
164,164,3,Duplex,Katampe,40000000.0,13333333.333333334,3,13333333.333333334,Luxury,2
165,165,4,Duplex,Maitama,45000000.0,11250000.0,4,11250000.0,Luxury,2
166,166,2,Apartment,Jahi,10000000.0,5000000.0,2,5000000.0,Mid-Range,0
167,167,3,Apartment,Jahi,10000000.0,3333333.3333333335,3,3333333.3333333335,Mid-Range,0
168,168,2,Apartment,Garki,4000000.0,2000000.0,2,2000000.0,Mid-Range,0
169,169,4,Duplex,Apo,17000000.0,4250000.0,4,4250000.0,Mid-Range,2
170,170,4,Duplex,Apo,12000000.0,3000000.0,4,3000000.0,Mid-Range,2
171,171,3,Apartment,Utako,15000000.0,5000000.0,3,5000000.0,Mid-Range,0
172,172,3,Apartment,Utako,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
173,173,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
174,174,4,Duplex,Maitama,13000000.0,3250000.0,4,3250000.0,Luxury,2
175,175,4,Duplex,Maitama,45000000.0,11250000.0,4,11250000.0,Luxury,2
176,176,2,Apartment,Gwarinpa,2000000.0,1000000.0,2,1000000.0,Budget,0
177,177,1,Apartment,Gwarinpa,3500000.0,3500000.0,1,3500000.0,Budget,0
178,178,2,Apartment,Gwarinpa,3000000.0,1500000.0,2,1500000.0,Budget,0
179,179,3,Apartment,Katampe,8000000.0,2666666.6666666665,3,2666666.6666666665,Luxury,0
180,180,1,Apartment,Guzape,5500000.0,5500000.0,1,5500000.0,Luxury,0
181,181,3,Apartment,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
182,182,3,Apartment,Katampe,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
184,184,4,Duplex,Gwarinpa,15000000.0,3750000.0,4,3750000.0,Budget,2
185,185,5,Duplex,Kaura,7500000.0,1500000.0,5,1500000.0,Budget,2
186,186,2,Apartment,Maitama,12000000.0,6000000.0,2,6000000.0,Luxury,0
187,187,3,Apartment,Katampe,25000000.0,8333333.333333333,3,8333333.333333333,Luxury,0
189,189,3,Apartment,Wuye,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
190,190,4,House,Life Camp,13000000.0,3250000.0,4,3250000.0,Budget,3
191,191,2,Apartment,Life Camp,7000000.0,3500000.0,2,3500000.0,Budget,0
192,192,2,Apartment,Idu,4000000.0,2000000.0,2,2000000.0,Budget,0
193,193,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
194,194,2,Apartment,Wuye,6500000.0,3250000.0,2,3250000.0,Luxury,0
195,195,4,Duplex,Wuye,15000000.0,3750000.0,4,3750000.0,Luxury,2
196,196,4,Duplex,Gwarinpa,10000000.0,2500000.0,4,2500000.0,Budget,2
197,197,2,House,Mabushi,4500000.0,2250000.0,2,2250000.0,Mid-Range,3
198,198,3,Apartment,Mabushi,8500000.0,2833333.3333333335,3,2833333.3333333335,Mid-Range,0
199,199,2,Apartment,Idu,4000000.0,2000000.0,2,2000000.0,Budget,0
200,200,5,Duplex,Katampe,20000000.0,4000000.0,5,4000000.0,Luxury,2
201,201,1,Apartment,Gwarinpa,2800000.0,2800000.0,1,2800000.0,Budget,0
202,202,2,Apartment,Idu,4000000.0,2000000.0,2,2000000.0,Budget,0
203,203,2,Apartment,Lugbe,3500000.0,1750000.0,2,1750000.0,Budget,0
204,204,3,Apartment,Life Camp,4500000.0,1500000.0,3,1500000.0,Budget,0
205,205,3,Apartment,Life Camp,4500000.0,1500000.0,3,1500000.0,Budget,0
206,206,4,Apartment,Maitama,13000000.0,3250000.0,4,3250000.0,Luxury,0
207,207,4,Apartment,Maitama,13000000.0,3250000.0,4,3250000.0,Luxury,0
208,208,3,Apartment,Wuye,6500000.0,2166666.6666666665,3,2166666.6666666665,Luxury,0
209,209,2,Apartment,Durumi,6000000.0,3000000.0,2,3000000.0,Budget,0
210,210,3,Apartment,Katampe,6000000.0,2000000.0,3,2000000.0,Luxury,0
211,211,3,Apartment,Jahi,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
212,212,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
213,213,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
214,214,5,Duplex,Jabi,20000000.0,4000000.0,5,4000000.0,Luxury,2
215,215,1,Apartment,Durumi,3700000.0,3700000.0,1,3700000.0,Budget,0
216,216,3,Duplex,Wuye,12000000.0,4000000.0,3,4000000.0,Luxury,2
217,217,3,Apartment,Wuye,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
218,218,1,Apartment,Gwarinpa,1600000.0,1600000.0,1,1600000.0,Budget,0
219,219,4,Duplex,Mabushi,10000000.0,2500000.0,4,2500000.0,Mid-Range,2
220,220,1,Apartment,Durumi,3700000.0,3700000.0,1,3700000.0,Budget,0
221,221,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
222,222,3,Duplex,Apo,7500000.0,2500000.0,3,2500000.0,Mid-Range,2
223,223,3,Apartment,Wuse,8000000.0,2666666.6666666665,3,2666666.6666666665,Luxury,0
224,224,3,House,Wuse,5000000.0,1666666.6666666667,3,1666666.6666666667,Luxury,3
225,225,6,Duplex,Durumi,15000000.0,2500000.0,6,2500000.0,Budget,2
226,226,4,Duplex,Apo,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
227,227,5,Duplex,Katampe,17000000.0,3400000.0,5,3400000.0,Luxury,2
228,228,1,Apartment,Utako,3500000.0,3500000.0,1,3500000.0,Mid-Range,0
229,229,3,Apartment,Wuse,5000000.0,1666666.6666666667,3,1666666.6666666667,Luxury,0
230,230,2,Apartment,Idu,4000000.0,2000000.0,2,2000000.0,Budget,0
231,231,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
232,232,5,Duplex,Kado,25000000.0,5000000.0,5,5000000.0,Mid-Range,2
233,233,4,Duplex,Apo,10000000.0,2500000.0,4,2500000.0,Mid-Range,2
234,234,5,Duplex,Katampe,15000000.0,3000000.0,5,3000000.0,Luxury,2
235,235,2,Apartment,Maitama,25000000.0,12500000.0,2,12500000.0,Luxury,0
236,236,3,Apartment,Jahi,13000000.0,4333333.333333333,3,4333333.333333333,Mid-Range,0
237,237,3,Apartment,Jabi,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
238,238,4,Duplex,Garki,10000000.0,2500000.0,4,2500000.0,Mid-Range,2
239,239,3,Apartment,Wuse,5000000.0,1666666.6666666667,3,1666666.6666666667,Luxury,0
240,240,1,Apartment,Utako,3500000.0,3500000.0,1,3500000.0,Mid-Range,0
241,241,4,Duplex,Guzape,25000000.0,6250000.0,4,6250000.0,Luxury,2
242,242,5,Duplex,Apo,10000000.0,2000000.0,5,2000000.0,Mid-Range,2
243,243,4,Duplex,Idu,20000000.0,5000000.0,4,5000000.0,Budget,2
244,244,2,Apartment,Gwarinpa,2700000.0,1350000.0,2,1350000.0,Budget,0
245,245,1,Apartment,Gwarinpa,3500000.0,3500000.0,1,3500000.0,Budget,0
246,246,2,Apartment,Asokoro,10000000.0,5000000.0,2,5000000.0,Luxury,0
247,247,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
248,248,4,Duplex,Asokoro,15000000.0,3750000.0,4,3750000.0,Luxury,2
249,249,3,Apartment,Mabushi,13000000.0,4333333.333333333,3,4333333.333333333,Mid-Range,0
252,252,3,Apartment,Mabushi,8500000.0,2833333.3333333335,3,2833333.3333333335,Mid-Range,0
253,253,4,Duplex,Wuse,35000000.0,8750000.0,4,8750000.0,Luxury,2
254,254,4,Duplex,Gwarinpa,8000000.0,2000000.0,4,2000000.0,Budget,2
255,255,3,Apartment,Wuye,20000000.0,6666666.666666667,3,6666666.666666667,Luxury,0
256,256,4,Duplex,Wuye,25000000.0,6250000.0,4,6250000.0,Luxury,2
257,257,4,Duplex,Jabi,25000000.0,6250000.0,4,6250000.0,Luxury,2
258,258,2,Apartment,Jabi,20000000.0,10000000.0,2,10000000.0,Luxury,0
259,259,3,Apartment,Jabi,25000000.0,8333333.333333333,3,8333333.333333333,Luxury,0
260,260,3,Apartment,Wuse,5000000.0,1666666.6666666667,3,1666666.6666666667,Luxury,0
262,262,1,Apartment,Jahi,7500000.0,7500000.0,1,7500000.0,Mid-Range,0
263,263,3,Apartment,Jahi,10000000.0,3333333.3333333335,3,3333333.3333333335,Mid-Range,0
264,264,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
265,265,3,Apartment,Life Camp,6000000.0,2000000.0,3,2000000.0,Budget,0
266,266,2,Apartment,Maitama,12000000.0,6000000.0,2,6000000.0,Luxury,0
267,267,2,Apartment,Maitama,3500000.0,1750000.0,2,1750000.0,Luxury,0
268,268,3,House,Maitama,7000000.0,2333333.3333333335,3,2333333.3333333335,Luxury,3
269,269,2,Apartment,Life Camp,3000000.0,1500000.0,2,1500000.0,Budget,0
270,270,5,Duplex,Wuye,35000000.0,7000000.0,5,7000000.0,Luxury,2
271,271,5,Duplex,Apo,10000000.0,2000000.0,5,2000000.0,Mid-Range,2
272,272,6,Duplex,Life Camp,30000000.0,5000000.0,6,5000000.0,Budget,2
273,273,2,Apartment,Mabushi,4000000.0,2000000.0,2,2000000.0,Mid-Range,0
274,274,4,Duplex,Wuye,15000000.0,3750000.0,4,3750000.0,Luxury,2
275,275,4,Bungalow,Gwarinpa,8500000.0,2125000.0,4,2125000.0,Budget,1
276,276,5,Duplex,Gwarinpa,12000000.0,2400000.0,5,2400000.0,Budget,2
277,277,2,Apartment,Maitama,4000000.0,2000000.0,2,2000000.0,Luxury,0
278,278,1,Apartment,Jahi,2500000.0,2500000.0,1,2500000.0,Mid-Range,0
279,279,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
280,280,3,Apartment,Mabushi,5700000.0,1900000.0,3,1900000.0,Mid-Range,0
281,281,4,Duplex,Jabi,25000000.0,6250000.0,4,6250000.0,Luxury,2
282,282,2,Apartment,Apo,50000000.0,25000000.0,2,25000000.0,Mid-Range,0
284,284,5,Duplex,Idu,15000000.0,3000000.0,5,3000000.0,Budget,2
285,285,3,Apartment,Idu,6000000.0,2000000.0,3,2000000.0,Budget,0
286,286,4,Duplex,Mabushi,15000000.0,3750000.0,4,3750000.0,Mid-Range,2
287,287,3,Duplex,Mabushi,12000000.0,4000000.0,3,4000000.0,Mid-Range,2
288,288,4,Duplex,Maitama,30000000.0,7500000.0,4,7500000.0,Luxury,2
289,289,3,Apartment,Mabushi,5700000.0,1900000.0,3,1900000.0,Mid-Range,0
290,290,3,Apartment,Guzape,8000000.0,2666666.6666666665,3,2666666.6666666665,Luxury,0
291,291,6,Duplex,Durumi,15000000.0,2500000.0,6,2500000.0,Budget,2
292,292,5,Duplex,Gwarinpa,20000000.0,4000000.0,5,4000000.0,Budget,2
293,293,1,Apartment,Gwarinpa,3500000.0,3500000.0,1,3500000.0,Budget,0
294,294,4,Duplex,Life Camp,20000000.0,5000000.0,4,5000000.0,Budget,2
295,295,3,Apartment,Garki,8000000.0,2666666.6666666665,3,2666666.6666666665,Mid-Range,0
296,296,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
297,297,1,Apartment,Lugbe,2500000.0,2500000.0,1,2500000.0,Budget,0
298,298,4,Duplex,Lugbe,10000000.0,2500000.0,4,2500000.0,Budget,2
299,299,3,Apartment,Maitama,15000000.0,5000000.0,3,5000000.0,Luxury,0
300,300,2,House,Maitama,27000000.0,13500000.0,2,13500000.0,Luxury,3
301,301,2,Apartment,Jahi,6000000.0,3000000.0,2,3000000.0,Mid-Range,0
302,302,1,Apartment,Apo,1500000.0,1500000.0,1,1500000.0,Mid-Range,0
303,303,3,Apartment,Apo,7000000.0,2333333.3333333335,3,2333333.3333333335,Mid-Range,0
304,304,4,Duplex,Mabushi,12000000.0,3000000.0,4,3000000.0,Mid-Range,2
305,305,4,Duplex,Jabi,27000000.0,6750000.0,4,6750000.0,Luxury,2
306,306,1,Apartment,Kaura,2000000.0,2000000.0,1,2000000.0,Budget,0
307,307,2,Apartment,Gwarinpa,2600000.0,1300000.0,2,1300000.0,Budget,0
308,308,3,Apartment,Jabi,6000000.0,2000000.0,3,2000000.0,Luxury,0
309,309,3,Duplex,Jabi,32000000.0,10666666.666666666,3,10666666.666666666,Luxury,2
310,310,2,Bungalow,Lugbe,2200000.0,1100000.0,2,1100000.0,Budget,1
311,311,5,Duplex,Mabushi,20000000.0,4000000.0,5,4000000.0,Mid-Range,2
312,312,3,Apartment,Gwarinpa,5500000.0,1833333.3333333333,3,1833333.3333333333,Budget,0
313,313,6,Apartment,Lokogoma,15000000.0,2500000.0,6,2500000.0,Budget,0
314,314,4,Apartment,Guzape,20000000.0,5000000.0,4,5000000.0,Luxury,0
315,315,2,Apartment,Life Camp,5000000.0,2500000.0,2,2500000.0,Budget,0
316,316,4,Duplex,Guzape,18000000.0,4500000.0,4,4500000.0,Luxury,2
317,317,3,Apartment,Guzape,10000000.0,3333333.3333333335,3,3333333.3333333335,Luxury,0
318,318,5,Duplex,Guzape,25000000.0,5000000.0,5,5000000.0,Luxury,2
