,Price,Location,Bedrooms(s),Property Type,Property Category,District,Price_Cleaned,Price(Converted_to_naira),Price(Float)
49,"₦ 20,000,000/year",Katampe Main Abuja,5,Newly Built Semi Detached Duplex Duplex + Bq,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
50,"₦ 10,000,000/year",Asokoro Abuja,6,Fully Detached Duplex,Duplex,Asokoro,"₦ 10,000,000","₦10,000,000.00",10000000.0
52,"₦ 5,000,000/year",Ochacho Axis Life Camp Abuja,3,Newly Built Block Of Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
53,"₦ 35,000,000/year","Diplomatic Zone, Maitama Abuja",4,Renovated Detached Duplex,Duplex,Maitama,"₦ 35,000,000","₦35,000,000.00",35000000.0
54,"₦ 20,000,000/year",American International School Durumi Durumi Abuja,4,Duplex,Duplex,Durumi,"₦ 20,000,000","₦20,000,000.00",20000000.0
55,"₦ 15,000,000/year",Main Mabushi Abuja,4,Terrace Duplex +room Bq (for Office Use Only),,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
56,"₦ 15,000,000/year","American International School, Durumi Abuja",4,Terrace Duplex Bq/pool,Duplex,Durumi,"₦ 15,000,000","₦15,000,000.00",15000000.0
57,"₦ 10,000,000/year","Life Camp In A Secured And Serene Estate, Life Camp Abuja",4,Newly Built Terraced Duplex With Bq,Duplex,Life Camp,"₦ 10,000,000","₦10,000,000.00",10000000.0
58,"₦ 15,000,000/year",Mabushi Main Mabushi Abuja,5,Terrace Duplex,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
59,"₦ 15,000,000/year",Jahi Gilmor Jahi Abuja,4,Newly Built Detached Duplex With Bq,Duplex,Jahi,"₦ 15,000,000","₦15,000,000.00",15000000.0
60,"₦ 12,000,000/year",Gilmor Jahi Abuja,4,Terrace Duplex With Bq,Duplex,Jahi,"₦ 12,000,000","₦12,000,000.00",12000000.0
61,"₦ 18,000,000/year",Jahi Jahi Abuja,4,Newly Built Terrace Duplex,Duplex,Jahi,"₦ 18,000,000","₦18,000,000.00",18000000.0
62,"₦ 8,500,000,000",Life Camp Life Camp Abuja,4,Newly And Spacious 4bedroom With Bq Terrace,Duplex,Life Camp,"₦ 8,500,000,000","₦8,500,000,000.00",8500000000.0
63,"₦ 16,000,000/year",Jahi Gilmor Jahi Abuja,4,Semi Detached Duplex,Duplex,Jahi,"₦ 16,000,000","₦16,000,000.00",16000000.0
64,"₦ 20,000,000/year",Katampe Abuja,4,Terraced Duplex With Bq,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
65,"₦ 12,000,000/year",By Vio Office Mabushi Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Mabushi,"₦ 12,000,000","₦12,000,000.00",12000000.0
66,"₦ 14,000,000/year",Mabushi In An Estate Mabushi Abuja,4,Exquisite And Luxurious 4bedroom Semi Detached Duplex,Duplex,Mabushi,"₦ 14,000,000","₦14,000,000.00",14000000.0
67,"₦ 8,500,000,000",Life Camp Life Camp Abuja,4,Newly And Spacious 4bedroom With Bq Terrace,Duplex,Life Camp,"₦ 8,500,000,000","₦8,500,000,000.00",8500000000.0
68,"₦ 15,000,000/year",Jahi Gilmor Jahi Abuja,4,Terrace Duplex,Duplex,Jahi,"₦ 15,000,000","₦15,000,000.00",15000000.0
69,"₦ 8,000,000/year",Cornerpeice Life Camp Abuja,4,Terrace Duplex With Bq,Duplex,Life Camp,"₦ 8,000,000","₦8,000,000.00",8000000.0
70,"₦ 25,000,000/year",Wuye Abuja,4,Flat,Apartment,Wuye,"₦ 25,000,000","₦25,000,000.00",25000000.0
71,"₦ 25,000,000/year",Katampe Abuja,4,Terrace Duplex,Duplex,Katampe,"₦ 25,000,000","₦25,000,000.00",25000000.0
73,"₦ 10,000,000/year",Wuye Abuja,4,Terrace Duplex For Rent At Wuye,Duplex,Wuye,"₦ 10,000,000","₦10,000,000.00",10000000.0
74,"₦ 17,000,000/year",Guzape Abuja,4,Terrace Duplex For Rent At Guzape,Duplex,Guzape,"₦ 17,000,000","₦17,000,000.00",17000000.0
75,"₦ 15,000,000/year",Jahi Abuja,4,&1bq Terrace Duplex,Duplex,Jahi,"₦ 15,000,000","₦15,000,000.00",15000000.0
76,"₦ 12,000,000/year",Jahi Abuja,3,& 1 Bq Apartment For Rent At Jahi,Apartment,Jahi,"₦ 12,000,000","₦12,000,000.00",12000000.0
77,"₦ 13,000,000/year",Jahi Abuja,4,Terrace For Rent At Jahi Gilmore,Duplex,Jahi,"₦ 13,000,000","₦13,000,000.00",13000000.0
78,"₦ 8,000,000/year",Kaura (games Village) Abuja,3,Apartment,Apartment,Kaura,"₦ 8,000,000","₦8,000,000.00",8000000.0
79,"₦ 7,000,000/year",Jahi Abuja,2,For Rent At Jahi,,Jahi,"₦ 7,000,000","₦7,000,000.00",7000000.0
80,"₦ 25,000,000/year",Maitama Abuja,4,Terrace Duplex,Duplex,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
81,"₦ 15,000,000/year",Guzape Abuja,4,&1bq Terrace Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
82,"₦ 15,000,000/year",Life Camp Abuja,4,Terrace Duplex,Duplex,Life Camp,"₦ 15,000,000","₦15,000,000.00",15000000.0
83,"₦ 15,000,000/year",Mabushi Abuja,4,& 1bq Terrace For Rent At Mabushi,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
84,"₦ 12,000,000/year",Gwarinpa Abuja,4,& 1bq Terrace For Rent At Gwarimpa,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
85,"₦ 9,000,000/year",Jahi Abuja,3,& 1bq For Rent At Jahi Gilmore,,Jahi,"₦ 9,000,000","₦9,000,000.00",9000000.0
86,"₦ 18,000,000/year",Katampe Extension Katampe Abuja,4,Terrace &1bq For Rent At Katampe Extension,Duplex,Katampe,"₦ 18,000,000","₦18,000,000.00",18000000.0
87,"₦ 20,000,000/year",Katampe Abuja,4,Newly Built Duplex With Bq,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
88,"₦ 25,000,000/year",Wuye Abuja,4,Newly Built Semi Detached Duplex,Duplex,Wuye,"₦ 25,000,000","₦25,000,000.00",25000000.0
89,"₦ 15,000,000/year",Asokoro Abuja,4,Terrace Duplex With Bq,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
90,"₦ 18,000,000/year",Katampe Extension Katampe Abuja,4,Newly Built Duplex,Duplex,Katampe,"₦ 18,000,000","₦18,000,000.00",18000000.0
91,"₦ 12,000,000/year",Jahi Jahi Abuja,2,Apartment,Apartment,Jahi,"₦ 12,000,000","₦12,000,000.00",12000000.0
92,"₦ 10,000,000/year",Durumi Durumi Abuja,4,Semi Detached Duplex,Duplex,Durumi,"₦ 10,000,000","₦10,000,000.00",10000000.0
94,"₦ 12,000,000/year","Games Village, Kaura (games Village) Abuja",4,Terraced Duplex,Duplex,Kaura,"₦ 12,000,000","₦12,000,000.00",12000000.0
95,"₦ 25,000,000/year",Life Camp Abuja,4,Newly Built Duplex,Duplex,Life Camp,"₦ 25,000,000","₦25,000,000.00",25000000.0
96,"₦ 15,000,000/year",Katampe Katampe Abuja,4,Terrace Duplex,Duplex,Katampe,"₦ 15,000,000","₦15,000,000.00",15000000.0
97,"₦ 8,000,000/year",Jahi Gilmore Jahi Abuja,3,Apartment,Apartment,Jahi,"₦ 8,000,000","₦8,000,000.00",8000000.0
98,"₦ 10,500,000/year",Wuye Wuye Abuja,3,Apartment,Apartment,Wuye,"₦ 10,500,000","₦10,500,000.00",10500000.0
99,"₦ 15,000,000/year",Maitama Maitama Abuja,3,Apartment,Apartment,Maitama,"₦ 15,000,000","₦15,000,000.00",15000000.0
100,"₦ 12,000,000/year","Apo Cedarcrest, Apo Abuja",4,Duplex,Duplex,Apo,"₦ 12,000,000","₦12,000,000.00",12000000.0
101,"₦ 25,000,000/year",Maitama Maitama Abuja,4,Newly Built Terrace Duplex,Duplex,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
102,"₦ 15,000,000,000/year",Life Camp Life Camp Abuja,4,Terrace Duplex,Duplex,Life Camp,"₦ 15,000,000,000","₦15,000,000,000.00",15000000000.0
103,"₦ 50,000,000/year",Maitama Maitama Abuja,6,Detached Duplex,Duplex,Maitama,"₦ 50,000,000","₦50,000,000.00",50000000.0
104,"₦ 16,500,000/year",Katampe Katampe Abuja,4,Terrace Duplex 1 Room Bq,Duplex,Katampe,"₦ 16,500,000","₦16,500,000.00",16500000.0
105,"₦ 75,000,000/year",Maitama Maitama Abuja,4,Newly Built Detached Duplex,Duplex,Maitama,"₦ 75,000,000","₦75,000,000.00",75000000.0
107,"₦ 15,000,000/year",Garki Garki 2 Abuja,4,Terrace Duplex,Duplex,Garki,"₦ 15,000,000","₦15,000,000.00",15000000.0
108,"₦ 3,000,000/year",Brains And Hammers City Estate Life Camp Abuja,2,Newly Vacated Apartment,Apartment,Life Camp,"₦ 3,000,000","₦3,000,000.00",3000000.0
109,"₦ 7,000,000/year",Jahi Gilmore Jahi Abuja,2,Neatly Built Flat | Jahi Gilmore,Apartment,Jahi,"₦ 7,000,000","₦7,000,000.00",7000000.0
110,"₦ 17,000,000/year",Mabushi Mabushi Abuja,4,Furnished Terrace Duplex + Bq | Mabushi,Duplex,Mabushi,"₦ 17,000,000","₦17,000,000.00",17000000.0
111,"₦ 10,000,000/year",Close To The Magistrate Court. ( Video Is Attached) Life Camp Abuja,4,A Good Spacious Terrace Duplex + 1bq,Duplex,Life Camp,"₦ 10,000,000","₦10,000,000.00",10000000.0
112,"₦ 7,000,000/year","Garki Area 11, Abuja. ( Video Is Available) Area 11 Garki 1 Abuja",3,A Very Good Spacious 3bedroom Flat,Apartment,Garki,"₦ 7,000,000","₦7,000,000.00",7000000.0
113,"₦ 5,000,000/year",By America School Durumi Abuja,2,A Very Good Spacious Flat,Apartment,Durumi,"₦ 5,000,000","₦5,000,000.00",5000000.0
114,"₦ 3,500,000,000",Aso Villa Asokoro Abuja,5,Newly Built Detached Duplex With Elevator,Duplex,Asokoro,"₦ 3,500,000,000","₦3,500,000,000.00",3500000000.0
115,"₦ 15,000,000/year",By America School Durumi Abuja,4,A Very Good Terrace Duplex + 1bq Attached,Duplex,Durumi,"₦ 15,000,000","₦15,000,000.00",15000000.0
116,"₦ 7,500,000/year","Wuye Main, Wuye, Abuja Wuye Abuja",3,Flat,Apartment,Wuye,"₦ 7,500,000","₦7,500,000.00",7500000.0
117,"₦ 3,500,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,Flat,Apartment,Durumi,"₦ 3,500,000","₦3,500,000.00",3500000.0
118,"₦ 8,000,000/year","Von Road, Airport Road, Lugbe, Abuja Lugbe Abuja",2,Flat,Apartment,Lugbe,"₦ 8,000,000","₦8,000,000.00",8000000.0
119,"₦ 8,000,000/year","Wuye Main, Wuye, Abuja Wuye Abuja",3,Flat With Bq,Apartment,Wuye,"₦ 8,000,000","₦8,000,000.00",8000000.0
120,"₦ 6,500,000/year","3rd Avenue, Gwarinpa, Abuja Gwarinpa Abuja",3,Duplex,Duplex,Gwarinpa,"₦ 6,500,000","₦6,500,000.00",6500000.0
121,"₦ 12,000,000/year","Mabushi Close To Wuse2 By Banex, Mabushi, Abuja Mabushi Abuja",4,New Massive 4bedroom Penthouse With Seat Out,Duplex,Wuse,"₦ 12,000,000","₦12,000,000.00",12000000.0
122,"₦ 30,000,000/year",Asokoro Abuja Asokoro Abuja,5,Duplex,Duplex,Asokoro,"₦ 30,000,000","₦30,000,000.00",30000000.0
123,"₦ 6,600,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",3,Big 3bedroom Flat ( Rent And Service 6.6m),Apartment,Durumi,"₦ 6,600,000","₦6,600,000.00",6600000.0
124,"₦ 14,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",5,5bedroom Duplex,Duplex,Durumi,"₦ 14,000,000","₦14,000,000.00",14000000.0
125,"₦ 8,500,000/year","Life Camp By Godab, Life Camp, Abuja Life Camp Abuja",4,Duplex With Bq,Duplex,Life Camp,"₦ 8,500,000","₦8,500,000.00",8500000.0
126,"₦ 8,000,000/year","By Copa Cabana, Apo Lokogoma Express, Apo Abuja",4,Semi Detached Duplex,Duplex,Apo,"₦ 8,000,000","₦8,000,000.00",8000000.0
128,"₦ 12,000,000/year","4th Avenue, Gwarinpa, Abuja Gwarinpa Abuja",4,Newly Built Duplex With Bq,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
130,"₦ 6,000,000/year","Idu By Nizamiye Hospital, Idu Abuja",2,Furnished Flat,Apartment,Idu,"₦ 6,000,000","₦6,000,000.00",6000000.0
131,"₦ 3,000,000/year",Apo Primary Apo Abuja,2,Newly Built Flat,Apartment,Apo,"₦ 3,000,000","₦3,000,000.00",3000000.0
132,"₦ 2,200,000/year","Apo Primary, Apo Abuja",1,Flat,Apartment,Apo,"₦ 2,200,000","₦2,200,000.00",2200000.0
134,"₦ 6,500,000/year",Wuye Abuja,2,Newly Built Flat,Apartment,Wuye,"₦ 6,500,000","₦6,500,000.00",6500000.0
136,"₦ 4,500,000/year","Life Camp By Ochacho, Life Camp, Abuja Life Camp Abuja",3,Flat,Apartment,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
137,"₦ 3,800,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Newly Built 2bedroom Flat,Apartment,Durumi,"₦ 3,800,000","₦3,800,000.00",3800000.0
138,"₦ 1,350,000/year","By Apo Mechanic, Apo, Abuja Apo Abuja",,Big Self Contain,,Apo,"₦ 1,350,000","₦1,350,000.00",1350000.0
139,"₦ 2,500,000/year",Gwarinpa Abuja Gwarinpa Abuja,,Decent One Bedroom Flat,Apartment,Gwarinpa,"₦ 2,500,000","₦2,500,000.00",2500000.0
140,"₦ 1,500,000/year","Wuse Zone, Wuse Abuja Wuse 1 Abuja",,Self Contain,,Wuse,"₦ 1,500,000","₦1,500,000.00",1500000.0
141,"₦ 2,500,000/year","Nut Quarters, Opposite River Park, Lugbe, Abuja Lugbe Abuja",2,Decent 2bedroom Flat,Apartment,Lugbe,"₦ 2,500,000","₦2,500,000.00",2500000.0
142,"₦ 690,000/year",Federal Housing Lugbe Abuja,,Furnished Master Room In A Flat,Apartment,Lugbe,"₦ 690,000","₦690,000.00",690000.0
143,"₦ 2,400,000/year","Area11, Garki, Abuja Garki 1 Abuja",2,Big Self Contain (service Charge Inside 2.4m),,Garki,"₦ 2,400,000","₦2,400,000.00",2400000.0
144,"₦ 5,000,000/year","Life Camp By Berger Clinic, Life Camp Abuja",3,Duplex With Bq,Duplex,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
145,"₦ 550,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Shared Apartment,Apartment,Lugbe,"₦ 550,000","₦550,000.00",550000.0
146,"₦ 350,000/year","Federal Housing, Lugbe Abuja",6,Room In A Flat For 6 Months Master Room,Apartment,Lugbe,"₦ 350,000","₦350,000.00",350000.0
147,"₦ 1,200,000/year","Citec Estate ,airport Road, Jabi Abuja",,A Room Self Contained,Apartment,Jabi,"₦ 1,200,000","₦1,200,000.00",1200000.0
148,"₦ 4,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,Flat,Apartment,Durumi,"₦ 4,000,000","₦4,000,000.00",4000000.0
150,"₦ 7,000,000/year","Apo, Abuja Apo Abuja",4,4bedroom Duplex With Bq ( Self Compound ),Duplex,Apo,"₦ 7,000,000","₦7,000,000.00",7000000.0
151,"₦ 3,800,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Newly Built 2bedroom Flat,Apartment,Durumi,"₦ 3,800,000","₦3,800,000.00",3800000.0
152,"₦ 14,000,000/year","Apo Legislative Quarters, Apo Abuja",4,Duplex With Bq,Duplex,Apo,"₦ 14,000,000","₦14,000,000.00",14000000.0
154,"₦ 6,500,000/year","Katampe Extension, Abuja Katampe Extension Katampe Abuja",1,Flat,Apartment,Katampe,"₦ 6,500,000","₦6,500,000.00",6500000.0
155,"₦ 40,000,000/year",Guzape Abuja,6,Newly Built Duplex With Bq,Duplex,Guzape,"₦ 40,000,000","₦40,000,000.00",40000000.0
157,"₦ 6,000,000/year","Katampe Extension, Katampe, Abuja Katampe Abuja",,Big One Bedroom Flat,Apartment,Katampe,"₦ 6,000,000","₦6,000,000.00",6000000.0
158,"₦ 550,000/year","Lugbe Federal Housing, Lugbe Abuja",,Room In A Flat,Apartment,Lugbe,"₦ 550,000","₦550,000.00",550000.0
159,"₦ 10,000,000/year","Katampe Main, Abuja, Lagos Katampe Abuja",3,Flat,Apartment,Katampe,"₦ 10,000,000","₦10,000,000.00",10000000.0
160,"₦ 4,500,000/year","Gilmore, Jahi Abuja",1,Flat,Apartment,Jahi,"₦ 4,500,000","₦4,500,000.00",4500000.0
161,"₦ 7,000,000/year","Life Camp, Abuja Life Camp Abuja",3,3bedroom Duplex With Bq,Duplex,Life Camp,"₦ 7,000,000","₦7,000,000.00",7000000.0
162,"₦ 6,500,000/year","Apo Resettlement, Apo, Abuja Apo Abuja",3,3bedroom Duplex ( Corner Piece Duplex ),Duplex,Apo,"₦ 6,500,000","₦6,500,000.00",6500000.0
163,"₦ 6,000,000/year","Legislative Quarters, Apo Abuja",2,Terrace Duplex,Duplex,Apo,"₦ 6,000,000","₦6,000,000.00",6000000.0
165,"₦ 2,500,000/year","Trademore Estate, Lugbe, Abuja Lugbe Abuja",2,Flat,Apartment,Lugbe,"₦ 2,500,000","₦2,500,000.00",2500000.0
167,"₦ 200,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,3 Months Apartment,Apartment,Lugbe,"₦ 200,000","₦200,000.00",200000.0
168,"₦ 3,500,000/year","Life Camp, Abuja Life Camp Abuja",2,Flat,Apartment,Life Camp,"₦ 3,500,000","₦3,500,000.00",3500000.0
169,"₦ 4,500,000/year","Life Camp By Ochacho, Life Camp Abuja",2,Decent Flat,Apartment,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
170,"₦ 5,000,000/year","Durumi By America International School, Durumi Abuja",2,Newly Built Flat,Apartment,Durumi,"₦ 5,000,000","₦5,000,000.00",5000000.0
171,"₦ 4,000,000/year","River Park Estate, Airport Road, Lugbe Abuja",2,Flat,Apartment,Lugbe,"₦ 4,000,000","₦4,000,000.00",4000000.0
172,"₦ 1,500,000/year","Apo Primary, Apo, Abuja Apo Abuja",,Room Self Contain,Apartment,Apo,"₦ 1,500,000","₦1,500,000.00",1500000.0
173,"₦ 1,800,000/year",Katampe Abuja,,Furnished Room Self Contained,Apartment,Katampe,"₦ 1,800,000","₦1,800,000.00",1800000.0
174,"₦ 2,500,000/year","Wuse Zone 5, Wuse, Abuja Wuse 1 Abuja",2,Big One Bedroom Flat ( 2years),Apartment,Wuse,"₦ 2,500,000","₦2,500,000.00",2500000.0
175,"₦ 6,000,000/year","Life Camp By Stella Maris School, Life Camp Abuja Life Camp Abuja",,Furnished One Bedroom Flat,Apartment,Life Camp,"₦ 6,000,000","₦6,000,000.00",6000000.0
176,"₦ 700,000/year","Jahi Village By Next, Jahi Abuja",,Room Self Contained,Apartment,Jahi,"₦ 700,000","₦700,000.00",700000.0
178,"₦ 5,000,000/year",Asokoro Abuja,1,Flat Unfurnished,Apartment,Asokoro,"₦ 5,000,000","₦5,000,000.00",5000000.0
